step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
1,10.7340,,45890.81,,97626,21481.5,21481.5,2097152,21.5,21.5,1.15e-05,4.3816,fp8_tensorwise,125M,64,32,2048,142461696,1
2,10.6240,,41107.83,,382771,5478.9,5478.9,4194304,27.0,27.0,2.31e-05,3.1640,fp8_tensorwise,125M,64,32,2048,142461696,1
3,10.5236,,37183.47,,388974,5391.5,5391.5,6291456,32.4,32.4,3.46e-05,2.7688,fp8_tensorwise,125M,64,32,2048,142461696,1
4,10.4299,,33856.81,,380263,5515.0,5515.0,8388608,37.9,37.9,4.62e-05,2.6628,fp8_tensorwise,125M,64,32,2048,142461696,1
5,10.3242,,30460.86,,378545,5540.0,5540.0,10485760,43.4,43.4,5.77e-05,2.8983,fp8_tensorwise,125M,64,32,2048,142461696,1
6,10.2892,,29413.87,,370542,5659.7,5659.7,12582912,49.1,49.1,6.92e-05,2.7882,fp8_tensorwise,125M,64,32,2048,142461696,1
7,10.2360,,27890.73,,364322,5756.3,5756.3,14680064,54.8,54.8,8.08e-05,2.7635,fp8_tensorwise,125M,64,32,2048,142461696,1
8,10.1679,,26053.41,,378082,5546.8,5546.8,16777216,60.4,60.4,9.23e-05,2.7683,fp8_tensorwise,125M,64,32,2048,142461696,1
9,10.0728,,23689.71,,379624,5524.3,5524.3,18874368,65.9,65.9,1.04e-04,2.8821,fp8_tensorwise,125M,64,32,2048,142461696,1
10,9.9991,,22007.00,,385412,5441.3,5441.3,20971520,71.3,71.3,1.15e-04,2.9990,fp8_tensorwise,125M,64,32,2048,142461696,1
11,9.9781,,21549.98,,374599,5598.4,5598.4,23068672,76.9,76.9,1.27e-04,3.2408,fp8_tensorwise,125M,64,32,2048,142461696,1
12,9.8177,,18355.32,,384649,5452.1,5452.1,25165824,82.4,82.4,1.38e-04,2.7252,fp8_tensorwise,125M,64,32,2048,142461696,1
13,9.7203,,16653.00,,392466,5343.5,5343.5,27262976,87.7,87.7,1.50e-04,2.7785,fp8_tensorwise,125M,64,32,2048,142461696,1
14,9.5467,,13998.62,,383343,5470.7,5470.7,29360128,93.2,93.2,1.62e-04,3.0357,fp8_tensorwise,125M,64,32,2048,142461696,1
