step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
44,6.8746,,967.40,,376315,5572.9,5572.9,92274688,263.7,263.7,3.00e-04,1.2410,bf16,125M,64,32,2048,142461696,1
45,6.7833,,882.98,,370168,5665.4,5665.4,94371840,269.4,269.4,3.00e-04,1.2829,bf16,125M,64,32,2048,142461696,1
46,6.7867,,885.98,,379104,5531.9,5531.9,96468992,274.9,274.9,3.00e-04,0.9835,bf16,125M,64,32,2048,142461696,1
47,6.7324,,839.14,,374289,5603.0,5603.0,98566144,280.5,280.5,3.00e-04,0.9344,bf16,125M,64,32,2048,142461696,1
48,6.6809,,797.07,,364550,5752.7,5752.7,100663296,286.3,286.3,3.00e-04,1.0222,bf16,125M,64,32,2048,142461696,1
49,6.7755,,876.14,,383684,5465.8,5465.8,102760448,291.7,291.7,3.00e-04,1.1918,bf16,125M,64,32,2048,142461696,1
50,6.7501,,854.18,,380916,5505.6,5505.6,104857600,297.2,297.2,3.00e-04,0.8359,bf16,125M,64,32,2048,142461696,1
51,6.6832,,798.84,,370551,5659.6,5659.6,106954752,302.9,302.9,3.00e-04,0.6639,bf16,125M,64,32,2048,142461696,1
52,6.5929,,729.93,,375610,5583.3,5583.3,109051904,308.5,308.5,3.00e-04,0.9667,bf16,125M,64,32,2048,142461696,1
53,6.6920,,805.97,,378674,5538.1,5538.1,111149056,314.0,314.0,3.00e-04,1.5084,bf16,125M,64,32,2048,142461696,1
54,6.6619,,782.04,,378444,5541.5,5541.5,113246208,319.6,319.6,3.00e-04,0.8348,bf16,125M,64,32,2048,142461696,1
55,6.6583,,779.25,,380571,5510.5,5510.5,115343360,325.1,325.1,3.00e-04,0.6346,bf16,125M,64,32,2048,142461696,1
56,6.6141,,745.51,,369989,5668.1,5668.1,117440512,330.7,330.7,3.00e-04,1.1996,bf16,125M,64,32,2048,142461696,1
57,6.5841,,723.47,,377279,5558.6,5558.6,119537664,336.3,336.3,3.00e-04,0.7462,bf16,125M,64,32,2048,142461696,1
58,6.5540,,702.07,,371108,5651.1,5651.1,121634816,342.0,341.9,3.00e-04,0.6199,bf16,125M,64,32,2048,142461696,1
59,6.5404,,692.58,,367891,5700.5,5700.5,123731968,347.7,347.6,3.00e-04,0.5541,bf16,125M,64,32,2048,142461696,1
60,6.4886,,657.62,,370949,5653.5,5653.5,125829120,353.3,353.3,3.00e-04,0.8123,bf16,125M,64,32,2048,142461696,1
61,6.4440,,628.94,,374836,5594.8,5594.8,127926272,358.9,358.9,3.00e-04,0.5841,bf16,125M,64,32,2048,142461696,1
62,6.4198,,613.86,,377872,5549.9,5549.9,130023424,364.5,364.4,2.99e-04,0.5677,bf16,125M,64,32,2048,142461696,1
63,6.3711,,584.68,,366285,5725.5,5725.5,132120576,370.2,370.2,2.99e-04,0.4653,bf16,125M,64,32,2048,142461696,1
64,6.3687,,583.32,,370601,5658.8,5658.8,134217728,375.8,375.8,2.99e-04,0.4538,bf16,125M,64,32,2048,142461696,1
65,6.3449,,569.58,,372222,5634.1,5634.1,136314880,381.5,381.5,2.99e-04,0.4088,bf16,125M,64,32,2048,142461696,1
66,6.3400,,566.78,,378841,5535.7,5535.7,138412032,387.0,387.0,2.99e-04,0.3973,bf16,125M,64,32,2048,142461696,1
67,6.3314,,561.94,,369168,5680.8,5680.8,140509184,392.7,392.7,2.99e-04,0.4988,bf16,125M,64,32,2048,142461696,1
68,6.3077,,548.77,,375530,5584.5,5584.5,142606336,398.3,398.3,2.99e-04,0.3921,bf16,125M,64,32,2048,142461696,1
69,6.3207,,555.94,,378229,5544.7,5544.7,144703488,403.8,403.8,2.99e-04,0.5050,bf16,125M,64,32,2048,142461696,1
70,6.2836,,535.72,,371136,5650.6,5650.6,146800640,409.5,409.5,2.99e-04,0.5143,bf16,125M,64,32,2048,142461696,1
71,6.2745,,530.85,,372483,5630.2,5630.2,148897792,415.1,415.1,2.99e-04,0.7770,bf16,125M,64,32,2048,142461696,1
72,6.3070,,548.41,,377162,5560.4,5560.4,150994944,420.7,420.7,2.99e-04,0.7844,bf16,125M,64,32,2048,142461696,1
73,6.2794,,533.45,,373870,5609.3,5609.3,153092096,426.3,426.3,2.99e-04,1.2320,bf16,125M,64,32,2048,142461696,1
74,6.2526,,519.38,,367032,5713.8,5713.8,155189248,432.0,432.0,2.99e-04,0.6806,bf16,125M,64,32,2048,142461696,1
75,6.2431,,514.43,,375615,5583.2,5583.2,157286400,437.6,437.6,2.99e-04,0.4568,bf16,125M,64,32,2048,142461696,1
76,6.1876,,486.66,,368517,5690.8,5690.8,159383552,443.3,443.2,2.99e-04,0.4801,bf16,125M,64,32,2048,142461696,1
77,6.2158,,500.61,,365003,5745.6,5745.6,161480704,449.0,449.0,2.99e-04,0.4588,bf16,125M,64,32,2048,142461696,1
78,6.1249,,457.11,,376556,5569.3,5569.3,163577856,454.6,454.6,2.99e-04,0.4209,bf16,125M,64,32,2048,142461696,1
79,6.2419,,513.83,,374124,5605.5,5605.5,165675008,460.2,460.2,2.99e-04,0.4129,bf16,125M,64,32,2048,142461696,1
80,6.1333,,460.94,,373186,5619.6,5619.6,167772160,465.8,465.8,2.99e-04,0.3188,bf16,125M,64,32,2048,142461696,1
81,6.2288,,507.14,,376538,5569.6,5569.6,169869312,471.4,471.4,2.99e-04,0.3051,bf16,125M,64,32,2048,142461696,1
82,6.2052,,495.31,,369587,5674.3,5674.3,171966464,477.0,477.0,2.99e-04,0.3582,bf16,125M,64,32,2048,142461696,1
83,6.1287,,458.82,,374550,5599.1,5599.1,174063616,482.6,482.6,2.99e-04,0.3251,bf16,125M,64,32,2048,142461696,1
84,6.2368,,511.20,,373096,5620.9,5620.9,176160768,488.3,488.3,2.99e-04,0.2918,bf16,125M,64,32,2048,142461696,1
85,6.1791,,482.56,,372837,5624.8,5624.8,178257920,493.9,493.9,2.99e-04,0.2944,bf16,125M,64,32,2048,142461696,1
86,6.1259,,457.55,,375150,5590.2,5590.2,180355072,499.5,499.5,2.99e-04,0.2615,bf16,125M,64,32,2048,142461696,1
87,6.0985,,445.17,,379343,5528.4,5528.4,182452224,505.0,505.0,2.99e-04,0.2571,bf16,125M,64,32,2048,142461696,1
88,6.0457,,422.31,,374540,5599.3,5599.3,184549376,510.6,510.6,2.99e-04,0.3061,bf16,125M,64,32,2048,142461696,1
89,6.0787,,436.44,,362562,5784.3,5784.3,186646528,516.4,516.4,2.98e-04,0.4377,bf16,125M,64,32,2048,142461696,1
90,6.1054,,448.25,,372982,5622.7,5622.7,188743680,522.0,522.0,2.98e-04,0.8042,bf16,125M,64,32,2048,142461696,1
91,6.1139,,452.09,,362427,5786.4,5786.4,190840832,527.8,527.8,2.98e-04,1.0304,bf16,125M,64,32,2048,142461696,1
92,6.0630,,429.67,,369854,5670.2,5670.2,192937984,533.5,533.5,2.98e-04,0.5958,bf16,125M,64,32,2048,142461696,1
93,6.0366,,418.46,,378601,5539.2,5539.2,195035136,539.0,539.0,2.98e-04,0.7259,bf16,125M,64,32,2048,142461696,1
94,5.9941,,401.04,,374903,5593.8,5593.8,197132288,544.6,544.6,2.98e-04,0.5693,bf16,125M,64,32,2048,142461696,1
95,5.9927,,400.51,,368056,5697.9,5697.9,199229440,550.3,550.3,2.98e-04,0.4208,bf16,125M,64,32,2048,142461696,1
96,6.0401,,419.92,,351845,5960.4,5960.4,201326592,556.3,556.3,2.98e-04,0.5509,bf16,125M,64,32,2048,142461696,1
97,5.9580,,386.85,,364892,5747.3,5747.3,203423744,562.0,562.0,2.98e-04,0.4428,bf16,125M,64,32,2048,142461696,1
98,5.9327,,377.17,,375205,5589.3,5589.3,205520896,567.6,567.6,2.98e-04,0.4638,bf16,125M,64,32,2048,142461696,1
99,5.9688,,391.02,,378234,5544.6,5544.6,207618048,573.1,573.1,2.98e-04,0.3751,bf16,125M,64,32,2048,142461696,1
100,5.9781,,394.67,,381067,5503.4,5503.4,209715200,578.6,578.6,2.98e-04,0.4422,bf16,125M,64,32,2048,142461696,1
101,5.9697,,391.39,,373901,5608.8,5608.8,211812352,584.2,584.2,2.98e-04,0.4683,bf16,125M,64,32,2048,142461696,1
102,5.9342,,377.75,,379732,5522.7,5522.7,213909504,589.8,589.8,2.98e-04,0.3996,bf16,125M,64,32,2048,142461696,1
103,5.8951,,363.27,,373026,5622.0,5622.0,216006656,595.4,595.4,2.98e-04,0.6182,bf16,125M,64,32,2048,142461696,1
104,5.9073,,367.73,,368016,5698.5,5698.5,218103808,601.1,601.1,2.98e-04,0.9718,bf16,125M,64,32,2048,142461696,1
