step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
1,10.7446,,46380.78,,3636,72090.5,72090.5,262144,72.1,72.1,5.62e-07,5.0031,fp8_tensorwise,350M,64,4,256,416465920,1
2,10.7588,,47040.10,,168816,1552.8,1552.8,524288,73.6,73.6,1.12e-06,4.0010,fp8_tensorwise,350M,64,4,256,416465920,1
3,10.7379,,46069.11,,168418,1556.5,1556.5,786432,75.2,75.2,1.69e-06,4.5567,fp8_tensorwise,350M,64,4,256,416465920,1
4,10.7390,,46117.81,,168100,1559.5,1559.5,1048576,76.8,76.8,2.25e-06,4.1437,fp8_tensorwise,350M,64,4,256,416465920,1
5,10.6752,,43269.91,,163025,1608.0,1608.0,1310720,78.4,78.4,2.81e-06,4.7445,fp8_tensorwise,350M,64,4,256,416465920,1
6,10.6767,,43336.15,,166627,1573.2,1573.2,1572864,79.9,79.9,3.37e-06,3.5257,fp8_tensorwise,350M,64,4,256,416465920,1
7,10.6493,,42160.96,,168238,1558.2,1558.2,1835008,81.5,81.5,3.93e-06,3.4656,fp8_tensorwise,350M,64,4,256,416465920,1
8,10.6314,,41413.89,,168007,1560.3,1560.3,2097152,83.1,83.1,4.49e-06,2.9867,fp8_tensorwise,350M,64,4,256,416465920,1
9,10.6239,,41106.45,,166279,1576.5,1576.5,2359296,84.6,84.6,5.06e-06,2.6455,fp8_tensorwise,350M,64,4,256,416465920,1
10,10.5806,,39362.89,,164371,1594.8,1594.8,2621440,86.2,86.2,5.62e-06,2.8356,fp8_tensorwise,350M,64,4,256,416465920,1
11,10.5162,,36907.94,,167629,1563.8,1563.8,2883584,87.8,87.8,6.18e-06,3.2524,fp8_tensorwise,350M,64,4,256,416465920,1
12,10.5046,,36482.05,,168227,1558.3,1558.3,3145728,89.4,89.4,6.74e-06,3.0942,fp8_tensorwise,350M,64,4,256,416465920,1
13,10.4548,,34711.20,,167364,1566.3,1566.3,3407872,90.9,90.9,7.30e-06,3.3348,fp8_tensorwise,350M,64,4,256,416465920,1
14,10.4335,,33978.88,,166439,1575.0,1575.0,3670016,92.5,92.5,7.87e-06,3.3063,fp8_tensorwise,350M,64,4,256,416465920,1
