step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
45,10.8348,,50755.87,,2909076,180.2,180.2,23592960,40.8,40.8,5.99e-04,0.0431,bf16,125M,32,2,512,143248128,8
46,10.8349,,50762.55,,2911279,180.1,180.1,24117248,41.0,41.0,5.99e-04,0.0433,bf16,125M,32,2,512,143248128,8
47,10.8346,,50744.89,,2920621,179.5,179.5,24641536,41.2,41.2,5.99e-04,0.0431,bf16,125M,32,2,512,143248128,8
48,10.8343,,50729.89,,2888617,181.5,181.5,25165824,41.4,41.4,5.99e-04,0.0420,bf16,125M,32,2,512,143248128,8
49,10.8347,,50750.16,,2903752,180.6,180.6,25690112,41.6,41.6,5.99e-04,0.0421,bf16,125M,32,2,512,143248128,8
50,10.8347,,50750.26,,2911646,180.1,180.1,26214400,41.7,41.7,5.99e-04,0.0424,bf16,125M,32,2,512,143248128,8
51,10.8350,,50768.99,,2912671,180.0,180.0,26738688,41.9,41.9,5.99e-04,0.0425,bf16,125M,32,2,512,143248128,8
52,10.8351,,50774.12,,2914799,179.9,179.9,27262976,42.1,42.1,5.99e-04,0.0445,bf16,125M,32,2,512,143248128,8
53,10.8352,,50779.01,,2907050,180.4,180.4,27787264,42.3,42.3,5.98e-04,0.0457,bf16,125M,32,2,512,143248128,8
54,10.8344,,50738.30,,2911091,180.1,180.1,28311552,42.5,42.5,5.98e-04,0.0424,bf16,125M,32,2,512,143248128,8
55,10.8348,,50756.89,,2923930,179.3,179.3,28835840,42.6,42.6,5.98e-04,0.0426,bf16,125M,32,2,512,143248128,8
56,10.8338,,50703.91,,2901790,180.7,180.7,29360128,42.8,42.8,5.98e-04,0.0415,bf16,125M,32,2,512,143248128,8
57,10.8337,,50702.27,,2888989,181.5,181.5,29884416,43.0,43.0,5.98e-04,0.0415,bf16,125M,32,2,512,143248128,8
58,10.8336,,50696.22,,2907588,180.3,180.3,30408704,43.2,43.2,5.98e-04,0.0415,bf16,125M,32,2,512,143248128,8
59,10.8337,,50698.50,,2898001,180.9,180.9,30932992,43.4,43.4,5.98e-04,0.0415,bf16,125M,32,2,512,143248128,8
60,10.8337,,50702.80,,2903818,180.6,180.6,31457280,43.5,43.5,5.98e-04,0.0415,bf16,125M,32,2,512,143248128,8
61,10.8337,,50698.93,,2872528,182.5,182.5,31981568,43.7,43.7,5.98e-04,0.0418,bf16,125M,32,2,512,143248128,8
62,10.8332,,50677.08,,2872873,182.5,182.5,32505856,43.9,43.9,5.98e-04,0.0412,bf16,125M,32,2,512,143248128,8
63,10.8329,,50658.77,,2875408,182.3,182.3,33030144,44.1,44.1,5.97e-04,0.0412,bf16,125M,32,2,512,143248128,8
64,10.8331,,50668.96,,2866768,182.9,182.9,33554432,44.3,44.3,5.97e-04,0.0412,bf16,125M,32,2,512,143248128,8
65,10.8325,,50639.35,,2892892,181.2,181.2,34078720,44.5,44.5,5.97e-04,0.0409,bf16,125M,32,2,512,143248128,8
66,10.8327,,50650.03,,2907188,180.3,180.3,34603008,44.6,44.6,5.97e-04,0.0414,bf16,125M,32,2,512,143248128,8
67,10.8324,,50632.78,,2909927,180.2,180.2,35127296,44.8,44.8,5.97e-04,0.0409,bf16,125M,32,2,512,143248128,8
68,10.8326,,50646.98,,2898429,180.9,180.9,35651584,45.0,45.0,5.97e-04,0.0411,bf16,125M,32,2,512,143248128,8
69,10.8328,,50653.12,,2903764,180.6,180.6,36175872,45.2,45.2,5.97e-04,0.0412,bf16,125M,32,2,512,143248128,8
70,10.8325,,50638.34,,2898578,180.9,180.9,36700160,45.4,45.4,5.97e-04,0.0410,bf16,125M,32,2,512,143248128,8
71,10.8327,,50647.85,,2863259,183.1,183.1,37224448,45.5,45.5,5.96e-04,0.0413,bf16,125M,32,2,512,143248128,8
72,10.8321,,50618.69,,2920264,179.5,179.5,37748736,45.7,45.7,5.96e-04,0.0407,bf16,125M,32,2,512,143248128,8
73,10.8314,,50585.82,,2925206,179.2,179.2,38273024,45.9,45.9,5.96e-04,0.0408,bf16,125M,32,2,512,143248128,8
74,10.8311,,50571.30,,2892253,181.3,181.3,38797312,46.1,46.1,5.96e-04,0.0402,bf16,125M,32,2,512,143248128,8
75,10.8310,,50565.81,,2902319,180.6,180.6,39321600,46.3,46.3,5.96e-04,0.0405,bf16,125M,32,2,512,143248128,8
76,10.8310,,50564.70,,2906024,180.4,180.4,39845888,46.4,46.4,5.96e-04,0.0406,bf16,125M,32,2,512,143248128,8
77,10.8311,,50570.19,,2890246,181.4,181.4,40370176,46.6,46.6,5.96e-04,0.0407,bf16,125M,32,2,512,143248128,8
78,10.8314,,50585.92,,2905575,180.4,180.4,40894464,46.8,46.8,5.95e-04,0.0405,bf16,125M,32,2,512,143248128,8
79,10.8315,,50589.78,,2911846,180.1,180.1,41418752,47.0,47.0,5.95e-04,0.0406,bf16,125M,32,2,512,143248128,8
80,10.8316,,50596.53,,2889444,181.4,181.4,41943040,47.2,47.2,5.95e-04,0.0405,bf16,125M,32,2,512,143248128,8
81,10.8317,,50597.64,,2888139,181.5,181.5,42467328,47.3,47.3,5.95e-04,0.0407,bf16,125M,32,2,512,143248128,8
82,10.8313,,50576.90,,2892671,181.2,181.2,42991616,47.5,47.5,5.95e-04,0.0407,bf16,125M,32,2,512,143248128,8
83,10.8309,,50560.84,,2878966,182.1,182.1,43515904,47.7,47.7,5.95e-04,0.0407,bf16,125M,32,2,512,143248128,8
84,10.8309,,50557.46,,2861806,183.2,183.2,44040192,47.9,47.9,5.94e-04,0.0404,bf16,125M,32,2,512,143248128,8
85,10.8309,,50560.84,,2883420,181.8,181.8,44564480,48.1,48.1,5.94e-04,0.0404,bf16,125M,32,2,512,143248128,8
86,10.8308,,50552.79,,2904949,180.5,180.5,45088768,48.3,48.3,5.94e-04,0.0402,bf16,125M,32,2,512,143248128,8
87,10.8311,,50567.06,,2907892,180.3,180.3,45613056,48.4,48.4,5.94e-04,0.0402,bf16,125M,32,2,512,143248128,8
88,10.8313,,50578.54,,2909377,180.2,180.2,46137344,48.6,48.6,5.94e-04,0.0404,bf16,125M,32,2,512,143248128,8
89,10.8315,,50587.41,,2911738,180.1,180.1,46661632,48.8,48.8,5.93e-04,0.0407,bf16,125M,32,2,512,143248128,8
90,10.8312,,50575.98,,2897821,180.9,180.9,47185920,49.0,49.0,5.93e-04,0.0404,bf16,125M,32,2,512,143248128,8
91,10.8310,,50561.80,,2903545,180.6,180.6,47710208,49.2,49.2,5.93e-04,0.0404,bf16,125M,32,2,512,143248128,8
92,10.8305,,50540.54,,2903722,180.6,180.6,48234496,49.3,49.3,5.93e-04,0.0401,bf16,125M,32,2,512,143248128,8
93,10.8304,,50533.17,,2883817,181.8,181.8,48758784,49.5,49.5,5.93e-04,0.0399,bf16,125M,32,2,512,143248128,8
94,10.8305,,50538.28,,2897050,181.0,181.0,49283072,49.7,49.7,5.92e-04,0.0404,bf16,125M,32,2,512,143248128,8
95,10.8311,,50571.11,,2892089,181.3,181.3,49807360,49.9,49.9,5.92e-04,0.0404,bf16,125M,32,2,512,143248128,8
96,10.8309,,50561.61,,2898856,180.9,180.9,50331648,50.1,50.1,5.92e-04,0.0404,bf16,125M,32,2,512,143248128,8
97,10.8312,,50572.36,,2882392,181.9,181.9,50855936,50.2,50.2,5.92e-04,0.0404,bf16,125M,32,2,512,143248128,8
98,10.8309,,50560.94,,2891888,181.3,181.3,51380224,50.4,50.4,5.92e-04,0.0404,bf16,125M,32,2,512,143248128,8
99,10.8308,,50556.07,,2888135,181.5,181.5,51904512,50.6,50.6,5.91e-04,0.0404,bf16,125M,32,2,512,143248128,8
100,10.8307,,50549.56,,2890591,181.4,181.4,52428800,50.8,50.8,5.91e-04,0.0404,bf16,125M,32,2,512,143248128,8
101,10.8305,,50538.90,,2902694,180.6,180.6,52953088,51.0,51.0,5.91e-04,0.0402,bf16,125M,32,2,512,143248128,8
102,10.8305,,50537.27,,2874273,182.4,182.4,53477376,51.2,51.2,5.91e-04,0.0402,bf16,125M,32,2,512,143248128,8
103,10.8307,,50549.85,,2875886,182.3,182.3,54001664,51.3,51.3,5.90e-04,0.0405,bf16,125M,32,2,512,143248128,8
104,10.8307,,50550.04,,2868376,182.8,182.8,54525952,51.5,51.5,5.90e-04,0.0402,bf16,125M,32,2,512,143248128,8
105,10.8311,,50569.08,,2888397,181.5,181.5,55050240,51.7,51.7,5.90e-04,0.0405,bf16,125M,32,2,512,143248128,8
106,10.8312,,50575.89,,2889714,181.4,181.4,55574528,51.9,51.9,5.90e-04,0.0408,bf16,125M,32,2,512,143248128,8
107,10.8309,,50561.22,,2873286,182.5,182.5,56098816,52.1,52.1,5.90e-04,0.0404,bf16,125M,32,2,512,143248128,8
108,10.8306,,50545.41,,2891226,181.3,181.3,56623104,52.2,52.2,5.89e-04,0.0405,bf16,125M,32,2,512,143248128,8
109,10.8305,,50539.29,,2835404,184.9,184.9,57147392,52.4,52.4,5.89e-04,0.0402,bf16,125M,32,2,512,143248128,8
