step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
1,10.8323,,50632.45,,3283,19963.8,19963.8,65536,20.0,20.0,3.00e-05,0.1219,bf16,125M,32,2,64,143248128,1
2,10.8322,,50624.62,,390126,168.0,168.0,131072,20.1,20.1,6.00e-05,0.1219,bf16,125M,32,2,64,143248128,1
3,10.8314,,50586.11,,383799,170.8,170.8,196608,20.3,20.3,9.00e-05,0.1218,bf16,125M,32,2,64,143248128,1
4,10.8313,,50579.14,,384468,170.5,170.5,262144,20.5,20.5,1.20e-04,0.1218,bf16,125M,32,2,64,143248128,1
5,10.8332,,50674.40,,384665,170.4,170.4,327680,20.6,20.6,1.50e-04,0.1217,bf16,125M,32,2,64,143248128,1
6,10.8330,,50663.41,,385395,170.0,170.0,393216,20.8,20.8,1.80e-04,0.1215,bf16,125M,32,2,64,143248128,1
7,10.8327,,50648.24,,377076,173.8,173.8,458752,21.0,21.0,2.10e-04,0.1210,bf16,125M,32,2,64,143248128,1
8,10.8324,,50632.59,,380609,172.2,172.2,524288,21.2,21.2,2.40e-04,0.1201,bf16,125M,32,2,64,143248128,1
9,10.8324,,50634.18,,381370,171.8,171.8,589824,21.3,21.3,2.70e-04,0.1183,bf16,125M,32,2,64,143248128,1
10,10.8322,,50625.93,,382792,171.2,171.2,655360,21.5,21.5,3.00e-04,0.1169,bf16,125M,32,2,64,143248128,1
11,10.8321,,50621.73,,382795,171.2,171.2,720896,21.7,21.7,3.30e-04,0.1175,bf16,125M,32,2,64,143248128,1
12,10.8331,,50670.27,,381327,171.9,171.9,786432,21.8,21.8,3.60e-04,0.1167,bf16,125M,32,2,64,143248128,1
13,10.8333,,50682.16,,379119,172.9,172.9,851968,22.0,22.0,3.90e-04,0.1196,bf16,125M,32,2,64,143248128,1
14,10.8331,,50671.33,,378029,173.4,173.4,917504,22.2,22.2,4.20e-04,0.1175,bf16,125M,32,2,64,143248128,1
15,10.8339,,50712.47,,381785,171.7,171.7,983040,22.4,22.4,4.50e-04,0.1271,bf16,125M,32,2,64,143248128,1
16,10.8341,,50721.35,,380286,172.3,172.3,1048576,22.5,22.5,4.80e-04,0.1168,bf16,125M,32,2,64,143248128,1
17,10.8360,,50818.21,,379896,172.5,172.5,1114112,22.7,22.7,5.10e-04,0.1240,bf16,125M,32,2,64,143248128,1
18,10.8346,,50745.44,,381681,171.7,171.7,1179648,22.9,22.9,5.40e-04,0.1254,bf16,125M,32,2,64,143248128,1
19,10.8381,,50923.85,,380382,172.3,172.3,1245184,23.1,23.1,5.70e-04,0.1218,bf16,125M,32,2,64,143248128,1
20,10.8385,,50943.33,,380212,172.4,172.4,1310720,23.2,23.2,6.00e-04,0.1213,bf16,125M,32,2,64,143248128,1
21,10.8336,,50696.85,,376794,173.9,173.9,1376256,23.4,23.4,6.00e-04,0.1278,bf16,125M,32,2,64,143248128,1
22,10.8366,,50846.32,,377509,173.6,173.6,1441792,23.6,23.6,6.00e-04,0.1215,bf16,125M,32,2,64,143248128,1
23,10.8357,,50802.89,,382726,171.2,171.2,1507328,23.7,23.7,6.00e-04,0.1864,bf16,125M,32,2,64,143248128,1
24,10.8412,,51081.42,,380908,172.1,172.1,1572864,23.9,23.9,6.00e-04,0.1852,bf16,125M,32,2,64,143248128,1
25,10.8430,,51172.33,,376547,174.0,174.0,1638400,24.1,24.1,6.00e-04,0.1374,bf16,125M,32,2,64,143248128,1
26,10.8360,,50816.17,,380482,172.2,172.2,1703936,24.3,24.3,6.00e-04,0.1269,bf16,125M,32,2,64,143248128,1
27,10.8365,,50842.98,,380715,172.1,172.1,1769472,24.4,24.4,6.00e-04,0.1154,bf16,125M,32,2,64,143248128,1
28,10.8374,,50890.18,,378417,173.2,173.2,1835008,24.6,24.6,6.00e-04,0.1132,bf16,125M,32,2,64,143248128,1
