step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params,world_size
41,10.9238,,55482.34,,66133,991.0,991.0,2686976,120.4,120.4,5.99e-04,0.2017,fp8_tensorwise,1.5B,32,2,64,1564837888,1
42,10.9325,,55968.58,,66346,987.8,987.8,2752512,121.4,121.4,5.99e-04,0.2023,fp8_tensorwise,1.5B,32,2,64,1564837888,1
43,10.9347,,56092.01,,66276,988.8,988.8,2818048,122.4,122.4,5.99e-04,0.2032,fp8_tensorwise,1.5B,32,2,64,1564837888,1
44,10.9380,,56273.35,,66393,987.1,987.1,2883584,123.4,123.4,5.99e-04,0.2032,fp8_tensorwise,1.5B,32,2,64,1564837888,1
45,10.9424,,56525.26,,66079,991.8,991.8,2949120,124.4,124.4,5.99e-04,0.2036,fp8_tensorwise,1.5B,32,2,64,1564837888,1
46,10.9415,,56473.05,,66069,991.9,991.9,3014656,125.4,125.4,5.99e-04,0.2048,fp8_tensorwise,1.5B,32,2,64,1564837888,1
47,10.9430,,56557.59,,66360,987.6,987.6,3080192,126.4,126.4,5.99e-04,0.2060,fp8_tensorwise,1.5B,32,2,64,1564837888,1
48,10.9412,,56455.22,,66410,986.8,986.8,3145728,127.3,127.3,5.99e-04,0.2061,fp8_tensorwise,1.5B,32,2,64,1564837888,1
49,10.9348,,56092.12,,66388,987.2,987.2,3211264,128.3,128.3,5.99e-04,0.2039,fp8_tensorwise,1.5B,32,2,64,1564837888,1
50,10.9312,,55895.07,,66367,987.5,987.5,3276800,129.3,129.3,5.99e-04,0.2028,fp8_tensorwise,1.5B,32,2,64,1564837888,1
51,10.9235,,55462.68,,66465,986.0,986.0,3342336,130.3,130.3,5.99e-04,0.2005,fp8_tensorwise,1.5B,32,2,64,1564837888,1
52,10.9196,,55248.35,,66466,986.0,986.0,3407872,131.3,131.3,5.99e-04,0.1990,fp8_tensorwise,1.5B,32,2,64,1564837888,1
