step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params
1,10.7954,,48797.70,,109243,17997.3,17997.3,1966080,18.0,18.0,1.03e-05,0.6780,fp8_tensorwise,125M,96,20,1920,143248128
2,10.7864,,48359.12,,451384,4355.7,4355.7,3932160,22.4,22.4,2.07e-05,0.7816,fp8_tensorwise,125M,96,20,1920,143248128
3,10.7695,,47548.44,,451434,4355.2,4355.2,5898240,26.7,26.7,3.10e-05,0.9295,fp8_tensorwise,125M,96,20,1920,143248128
4,10.7320,,45797.54,,450804,4361.3,4361.3,7864320,31.1,31.1,4.14e-05,1.3079,fp8_tensorwise,125M,96,20,1920,143248128
5,10.6718,,43124.41,,450509,4364.1,4364.1,9830400,35.4,35.4,5.17e-05,1.7710,fp8_tensorwise,125M,96,20,1920,143248128
6,10.5445,,37967.62,,450764,4361.7,4361.7,11796480,39.8,39.8,6.21e-05,2.4832,fp8_tensorwise,125M,96,20,1920,143248128
7,10.4506,,34565.94,,451102,4358.4,4358.4,13762560,44.2,44.2,7.24e-05,2.7437,fp8_tensorwise,125M,96,20,1920,143248128
8,10.3542,,31388.89,,451304,4356.4,4356.4,15728640,48.5,48.5,8.28e-05,2.8454,fp8_tensorwise,125M,96,20,1920,143248128
9,10.2707,,28874.58,,452141,4348.4,4348.4,17694720,52.9,52.9,9.31e-05,2.8357,fp8_tensorwise,125M,96,20,1920,143248128
10,10.1827,,26441.18,,452804,4342.0,4342.0,19660800,57.2,57.2,1.03e-04,3.0184,fp8_tensorwise,125M,96,20,1920,143248128
11,10.0922,,24153.33,,453270,4337.5,4337.5,21626880,61.5,61.5,1.14e-04,2.8353,fp8_tensorwise,125M,96,20,1920,143248128
12,9.9879,,21762.04,,453312,4337.1,4337.1,23592960,65.9,65.9,1.24e-04,3.0533,fp8_tensorwise,125M,96,20,1920,143248128
13,9.9232,,20397.90,,451866,4351.0,4351.0,25559040,70.2,70.2,1.34e-04,2.9467,fp8_tensorwise,125M,96,20,1920,143248128
14,9.7931,,17910.41,,451050,4358.9,4358.9,27525120,74.6,74.6,1.45e-04,2.7116,fp8_tensorwise,125M,96,20,1920,143248128
15,9.6143,,14976.83,,450976,4359.6,4359.6,29491200,78.9,78.9,1.55e-04,3.0199,fp8_tensorwise,125M,96,20,1920,143248128
16,9.4994,,13352.35,,452199,4347.8,4347.8,31457280,83.3,83.3,1.66e-04,2.9238,fp8_tensorwise,125M,96,20,1920,143248128
17,9.3583,,11595.00,,451561,4354.0,4354.0,33423360,87.6,87.6,1.76e-04,3.0324,fp8_tensorwise,125M,96,20,1920,143248128
18,9.2620,,10529.87,,452478,4345.1,4345.1,35389440,92.0,92.0,1.86e-04,2.9091,fp8_tensorwise,125M,96,20,1920,143248128
19,9.1376,,9298.17,,452711,4342.9,4342.9,37355520,96.3,96.3,1.97e-04,2.8936,fp8_tensorwise,125M,96,20,1920,143248128
20,9.0055,,8147.94,,452751,4342.5,4342.5,39321600,100.7,100.7,2.07e-04,2.7979,fp8_tensorwise,125M,96,20,1920,143248128
21,8.8473,,6955.29,,452299,4346.9,4346.9,41287680,105.0,105.0,2.17e-04,2.8951,fp8_tensorwise,125M,96,20,1920,143248128
22,8.7212,,6131.60,,451594,4353.6,4353.6,43253760,109.4,109.4,2.28e-04,2.8294,fp8_tensorwise,125M,96,20,1920,143248128
23,8.5844,,5347.70,,452147,4348.3,4348.3,45219840,113.7,113.7,2.38e-04,2.8298,fp8_tensorwise,125M,96,20,1920,143248128
24,8.4508,,4678.68,,452357,4346.3,4346.3,47185920,118.1,118.1,2.48e-04,2.8458,fp8_tensorwise,125M,96,20,1920,143248128
25,8.3119,,4072.01,,452750,4342.5,4342.5,49152000,122.4,122.4,2.59e-04,2.9078,fp8_tensorwise,125M,96,20,1920,143248128
26,8.1844,,3584.64,,452947,4340.6,4340.6,51118080,126.8,126.8,2.69e-04,2.8793,fp8_tensorwise,125M,96,20,1920,143248128
27,8.1006,,3296.56,,452629,4343.7,4343.7,53084160,131.1,131.1,2.79e-04,2.7355,fp8_tensorwise,125M,96,20,1920,143248128
28,8.0113,,3014.91,,453527,4335.1,4335.1,55050240,135.4,135.4,2.90e-04,2.6264,fp8_tensorwise,125M,96,20,1920,143248128
29,7.8789,,2640.99,,452434,4345.6,4345.6,57016320,139.8,139.8,3.00e-04,2.6263,fp8_tensorwise,125M,96,20,1920,143248128
30,7.7667,,2360.56,,452507,4344.9,4344.9,58982400,144.1,144.1,3.00e-04,2.5655,fp8_tensorwise,125M,96,20,1920,143248128
31,7.6788,,2161.95,,452520,4344.7,4344.7,60948480,148.5,148.5,3.00e-04,2.6433,fp8_tensorwise,125M,96,20,1920,143248128
32,7.5897,,1977.70,,451326,4356.2,4356.2,62914560,152.8,152.8,3.00e-04,2.4793,fp8_tensorwise,125M,96,20,1920,143248128
33,7.5203,,1845.09,,452931,4340.8,4340.8,64880640,157.2,157.2,3.00e-04,2.6869,fp8_tensorwise,125M,96,20,1920,143248128
34,7.4607,,1738.38,,453234,4337.9,4337.9,66846720,161.5,161.5,3.00e-04,2.2533,fp8_tensorwise,125M,96,20,1920,143248128
35,7.4147,,1660.19,,453491,4335.4,4335.4,68812800,165.8,165.8,3.00e-04,1.8554,fp8_tensorwise,125M,96,20,1920,143248128
36,7.3139,,1501.03,,452501,4344.9,4344.9,70778880,170.2,170.2,3.00e-04,1.9420,fp8_tensorwise,125M,96,20,1920,143248128
37,7.3600,,1571.79,,450272,4366.4,4366.4,72744960,174.6,174.6,3.00e-04,2.2226,fp8_tensorwise,125M,96,20,1920,143248128
38,7.2671,,1432.32,,452271,4347.1,4347.1,74711040,178.9,178.9,3.00e-04,1.4838,fp8_tensorwise,125M,96,20,1920,143248128
39,7.2563,,1417.00,,450709,4362.2,4362.2,76677120,183.3,183.3,3.00e-04,1.3043,fp8_tensorwise,125M,96,20,1920,143248128
40,7.2353,,1387.54,,450718,4362.1,4362.1,78643200,187.6,187.6,3.00e-04,1.1987,fp8_tensorwise,125M,96,20,1920,143248128
41,7.2146,,1359.14,,450290,4366.2,4366.2,80609280,192.0,192.0,3.00e-04,0.7047,fp8_tensorwise,125M,96,20,1920,143248128
42,7.1939,,1331.34,,452097,4348.8,4348.8,82575360,196.3,196.3,3.00e-04,0.5180,fp8_tensorwise,125M,96,20,1920,143248128
43,7.1723,,1302.81,,452682,4343.2,4343.2,84541440,200.7,200.7,3.00e-04,1.0486,fp8_tensorwise,125M,96,20,1920,143248128
44,7.3138,,1500.85,,450691,4362.4,4362.4,86507520,205.0,205.0,3.00e-04,14.0350,fp8_tensorwise,125M,96,20,1920,143248128
45,7.0799,,1187.83,,451727,4352.4,4352.4,88473600,209.4,209.4,3.00e-04,0.4939,fp8_tensorwise,125M,96,20,1920,143248128
46,7.0988,,1210.52,,451599,4353.6,4353.6,90439680,213.8,213.7,3.00e-04,0.8525,fp8_tensorwise,125M,96,20,1920,143248128
47,7.1214,,1238.17,,451652,4353.1,4353.1,92405760,218.1,218.1,3.00e-04,0.7194,fp8_tensorwise,125M,96,20,1920,143248128
48,7.1829,,1316.66,,452531,4344.6,4344.6,94371840,222.4,222.4,3.00e-04,4.4378,fp8_tensorwise,125M,96,20,1920,143248128
49,7.0974,,1208.82,,452137,4348.4,4348.4,96337920,226.8,226.8,3.00e-04,0.5983,fp8_tensorwise,125M,96,20,1920,143248128
50,7.0685,,1174.42,,450854,4360.8,4360.8,98304000,231.2,231.2,3.00e-04,0.4681,fp8_tensorwise,125M,96,20,1920,143248128
51,7.0590,,1163.27,,423275,4644.9,4644.9,100270080,235.8,235.8,3.00e-04,1.7312,fp8_tensorwise,125M,96,20,1920,143248128
52,7.0958,,1206.87,,451346,4356.0,4356.0,102236160,240.2,240.2,3.00e-04,0.9622,fp8_tensorwise,125M,96,20,1920,143248128
53,7.0695,,1175.59,,452406,4345.8,4345.8,104202240,244.5,244.5,3.00e-04,0.5307,fp8_tensorwise,125M,96,20,1920,143248128
54,7.1208,,1237.45,,451699,4352.6,4352.6,106168320,248.9,248.9,3.00e-04,1.1670,fp8_tensorwise,125M,96,20,1920,143248128
55,6.9976,,1093.98,,451480,4354.7,4354.7,108134400,253.2,253.2,3.00e-04,0.4663,fp8_tensorwise,125M,96,20,1920,143248128
56,7.0096,,1107.22,,451714,4352.5,4352.5,110100480,257.6,257.6,3.00e-04,1.1249,fp8_tensorwise,125M,96,20,1920,143248128
57,7.1423,,1264.33,,450089,4368.2,4368.2,112066560,261.9,261.9,3.00e-04,3.7816,fp8_tensorwise,125M,96,20,1920,143248128
58,7.0866,,1195.85,,450899,4360.4,4360.4,114032640,266.3,266.3,3.00e-04,1.2691,fp8_tensorwise,125M,96,20,1920,143248128
59,7.1061,,1219.33,,449696,4372.0,4372.0,115998720,270.7,270.7,3.00e-04,1.2794,fp8_tensorwise,125M,96,20,1920,143248128
60,7.0880,,1197.50,,451764,4352.0,4352.0,117964800,275.0,275.0,3.00e-04,0.9312,fp8_tensorwise,125M,96,20,1920,143248128
61,7.0146,,1112.79,,451379,4355.7,4355.7,119930880,279.4,279.4,3.00e-04,0.5724,fp8_tensorwise,125M,96,20,1920,143248128
62,7.0696,,1175.70,,451966,4350.1,4350.1,121896960,283.7,283.7,3.00e-04,1.1375,fp8_tensorwise,125M,96,20,1920,143248128
63,7.0176,,1116.14,,452069,4349.1,4349.1,123863040,288.1,288.1,3.00e-04,0.3611,fp8_tensorwise,125M,96,20,1920,143248128
64,6.9972,,1093.57,,450695,4362.3,4362.3,125829120,292.4,292.4,3.00e-04,0.4908,fp8_tensorwise,125M,96,20,1920,143248128
65,6.9590,,1052.63,,450618,4363.1,4363.1,127795200,296.8,296.8,3.00e-04,0.6588,fp8_tensorwise,125M,96,20,1920,143248128
66,6.9232,,1015.58,,450266,4366.5,4366.5,129761280,301.2,301.2,3.00e-04,0.4220,fp8_tensorwise,125M,96,20,1920,143248128
67,6.8702,,963.18,,451316,4356.3,4356.3,131727360,305.5,305.5,3.00e-04,0.7111,fp8_tensorwise,125M,96,20,1920,143248128
68,6.9805,,1075.43,,450861,4360.7,4360.7,133693440,309.9,309.9,3.00e-04,1.2436,fp8_tensorwise,125M,96,20,1920,143248128
69,6.9242,,1016.58,,450687,4362.4,4362.4,135659520,314.2,314.2,2.99e-04,0.5098,fp8_tensorwise,125M,96,20,1920,143248128
70,6.9063,,998.51,,452313,4346.7,4346.7,137625600,318.6,318.6,2.99e-04,0.4462,fp8_tensorwise,125M,96,20,1920,143248128
71,6.8654,,958.49,,451554,4354.0,4354.0,139591680,322.9,322.9,2.99e-04,0.3536,fp8_tensorwise,125M,96,20,1920,143248128
72,6.9372,,1029.89,,451579,4353.8,4353.8,141557760,327.3,327.3,2.99e-04,0.4384,fp8_tensorwise,125M,96,20,1920,143248128
73,6.8643,,957.50,,450656,4362.7,4362.7,143523840,331.7,331.7,2.99e-04,0.5378,fp8_tensorwise,125M,96,20,1920,143248128
74,6.8545,,948.13,,450740,4361.9,4361.9,145489920,336.0,336.0,2.99e-04,0.4336,fp8_tensorwise,125M,96,20,1920,143248128
75,6.9674,,1061.42,,450828,4361.0,4361.0,147456000,340.4,340.4,2.99e-04,3.1870,fp8_tensorwise,125M,96,20,1920,143248128
76,6.8578,,951.31,,451264,4356.8,4356.8,149422080,344.7,344.7,2.99e-04,0.6206,fp8_tensorwise,125M,96,20,1920,143248128
77,6.9240,,1016.40,,451734,4352.3,4352.3,151388160,349.1,349.1,2.99e-04,1.0596,fp8_tensorwise,125M,96,20,1920,143248128
78,6.8736,,966.46,,450847,4360.9,4360.9,153354240,353.5,353.5,2.99e-04,1.2343,fp8_tensorwise,125M,96,20,1920,143248128
79,6.8329,,927.88,,450770,4361.6,4361.6,155320320,357.8,357.8,2.99e-04,0.4804,fp8_tensorwise,125M,96,20,1920,143248128
80,6.8331,,928.07,,451959,4350.1,4350.1,157286400,362.2,362.2,2.99e-04,0.7504,fp8_tensorwise,125M,96,20,1920,143248128
81,6.7809,,880.86,,451107,4358.3,4358.3,159252480,366.5,366.5,2.99e-04,0.5646,fp8_tensorwise,125M,96,20,1920,143248128
82,6.8496,,943.50,,450910,4360.3,4360.3,161218560,370.9,370.9,2.99e-04,0.4838,fp8_tensorwise,125M,96,20,1920,143248128
83,6.7628,,865.06,,452435,4345.6,4345.6,163184640,375.2,375.2,2.99e-04,0.5630,fp8_tensorwise,125M,96,20,1920,143248128
