step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
41,7.7702,,2369.05,,4591,7138.0,7138.0,1343488,296.0,296.0,1.23e-04,1.1102,bf16,1.5B,32,1564837888
42,7.7680,,2363.73,,4600,7123.3,7123.3,1376256,303.1,303.1,1.26e-04,0.7586,bf16,1.5B,32,1564837888
43,7.6784,,2161.16,,4593,7134.8,7134.8,1409024,310.2,310.2,1.29e-04,1.2038,bf16,1.5B,32,1564837888
44,7.7476,,2316.02,,4600,7123.6,7123.6,1441792,317.4,317.3,1.32e-04,1.1887,bf16,1.5B,32,1564837888
45,8.0891,,3258.86,,4571,7169.0,7169.0,1474560,324.5,324.5,1.35e-04,1.5809,bf16,1.5B,32,1564837888
46,7.7363,,2290.09,,4598,7126.7,7126.7,1507328,331.7,331.6,1.38e-04,1.1805,bf16,1.5B,32,1564837888
47,7.6238,,2046.39,,4587,7144.0,7144.0,1540096,338.8,338.8,1.41e-04,1.2822,bf16,1.5B,32,1564837888
48,7.6287,,2056.29,,4597,7128.6,7128.6,1572864,345.9,345.9,1.44e-04,1.0046,bf16,1.5B,32,1564837888
49,7.7123,,2235.79,,4602,7120.1,7120.1,1605632,353.0,353.0,1.47e-04,1.0164,bf16,1.5B,32,1564837888
50,7.5997,,1997.57,,4605,7115.8,7115.8,1638400,360.2,360.1,1.50e-04,1.3842,bf16,1.5B,32,1564837888
51,7.6427,,2085.34,,4601,7122.7,7122.7,1671168,367.3,367.3,1.53e-04,1.4628,bf16,1.5B,32,1564837888
52,7.8343,,2525.71,,4592,7136.0,7136.0,1703936,374.4,374.4,1.56e-04,1.2682,bf16,1.5B,32,1564837888
53,7.7774,,2385.97,,4598,7126.6,7126.6,1736704,381.5,381.5,1.59e-04,0.8168,bf16,1.5B,32,1564837888
54,7.5630,,1925.63,,4606,7114.3,7114.3,1769472,388.7,388.6,1.62e-04,1.1611,bf16,1.5B,32,1564837888
55,7.6955,,2198.50,,4603,7119.4,7119.4,1802240,395.8,395.8,1.65e-04,0.9948,bf16,1.5B,32,1564837888
56,7.6249,,2048.48,,4587,7143.0,7143.0,1835008,402.9,402.9,1.68e-04,0.9107,bf16,1.5B,32,1564837888
57,7.7743,,2378.58,,4586,7144.9,7144.9,1867776,410.1,410.1,1.71e-04,0.7287,bf16,1.5B,32,1564837888
58,7.6111,,2020.51,,4604,7118.0,7118.0,1900544,417.2,417.2,1.74e-04,0.7511,bf16,1.5B,32,1564837888
59,7.7660,,2358.97,,4609,7109.6,7109.6,1933312,424.3,424.3,1.77e-04,0.7942,bf16,1.5B,32,1564837888
60,7.8642,,2602.41,,4587,7144.0,7144.0,1966080,431.4,431.4,1.80e-04,0.9418,bf16,1.5B,32,1564837888
61,7.7613,,2347.98,,4613,7104.0,7104.0,1998848,438.5,438.5,1.83e-04,1.0495,bf16,1.5B,32,1564837888
62,7.9997,,2980.03,,4593,7135.1,7135.1,2031616,445.7,445.7,1.86e-04,1.2352,bf16,1.5B,32,1564837888
63,7.6918,,2190.39,,4566,7176.0,7176.0,2064384,452.9,452.8,1.89e-04,0.8506,bf16,1.5B,32,1564837888
