step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
47,7.1420,,1264.01,,4612,7105.1,7105.1,1540096,337.8,337.8,1.41e-04,1.5160,bf16,1.5B,32,1564837888
48,7.1563,,1282.12,,4612,7104.6,7104.6,1572864,344.9,344.9,1.44e-04,1.2060,bf16,1.5B,32,1564837888
49,7.2638,,1427.65,,4612,7104.7,7104.7,1605632,352.0,352.0,1.47e-04,1.3744,bf16,1.5B,32,1564837888
50,7.1057,,1218.86,,4603,7118.4,7118.4,1638400,359.2,359.1,1.50e-04,1.5219,bf16,1.5B,32,1564837888
51,7.1188,,1234.92,,4594,7133.2,7133.2,1671168,366.3,366.3,1.53e-04,1.6669,bf16,1.5B,32,1564837888
52,7.3743,,1594.54,,4593,7134.5,7134.5,1703936,373.4,373.4,1.56e-04,1.5939,bf16,1.5B,32,1564837888
53,7.2839,,1456.64,,4586,7145.5,7145.5,1736704,380.6,380.6,1.59e-04,1.3149,bf16,1.5B,32,1564837888
54,6.9445,,1037.38,,4605,7116.0,7116.0,1769472,387.7,387.7,1.62e-04,1.1234,bf16,1.5B,32,1564837888
55,7.1228,,1239.98,,4594,7132.8,7132.8,1802240,394.8,394.8,1.65e-04,1.6597,bf16,1.5B,32,1564837888
56,7.0172,,1115.70,,4588,7142.6,7142.6,1835008,402.0,401.9,1.68e-04,1.2707,bf16,1.5B,32,1564837888
57,7.1887,,1324.35,,4597,7127.4,7127.4,1867776,409.1,409.1,1.71e-04,1.1304,bf16,1.5B,32,1564837888
58,6.9626,,1056.41,,4593,7133.7,7133.7,1900544,416.2,416.2,1.74e-04,1.4351,bf16,1.5B,32,1564837888
59,7.1631,,1290.90,,4600,7124.2,7124.2,1933312,423.3,423.3,1.77e-04,1.2100,bf16,1.5B,32,1564837888
60,7.3415,,1542.96,,4599,7124.3,7124.3,1966080,430.5,430.5,1.80e-04,3.4982,bf16,1.5B,32,1564837888
61,7.1747,,1305.98,,4607,7113.2,7113.2,1998848,437.6,437.6,1.83e-04,1.3656,bf16,1.5B,32,1564837888
62,7.4876,,1785.75,,4595,7131.4,7131.4,2031616,444.7,444.7,1.86e-04,1.6840,bf16,1.5B,32,1564837888
63,7.0019,,1098.77,,4602,7119.8,7119.8,2064384,451.8,451.8,1.89e-04,1.6630,bf16,1.5B,32,1564837888
64,7.1459,,1268.85,,4588,7142.6,7142.6,2097152,459.0,459.0,1.92e-04,1.6522,bf16,1.5B,32,1564837888
65,7.1179,,1233.89,,4610,7108.5,7108.5,2129920,466.1,466.1,1.95e-04,1.2419,bf16,1.5B,32,1564837888
66,7.2102,,1353.16,,4601,7121.9,7121.9,2162688,473.2,473.2,1.98e-04,1.6161,bf16,1.5B,32,1564837888
67,7.0531,,1156.42,,4583,7149.6,7149.6,2195456,480.4,480.3,2.01e-04,1.2862,bf16,1.5B,32,1564837888
68,7.0541,,1157.58,,4592,7135.7,7135.7,2228224,487.5,487.5,2.04e-04,1.4642,bf16,1.5B,32,1564837888
69,6.9427,,1035.60,,4616,7099.3,7099.3,2260992,494.6,494.6,2.07e-04,1.2421,bf16,1.5B,32,1564837888
