step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
1,11.2271,,75141.05,,3046,10757.0,10757.0,32768,10.8,10.8,3.00e-06,5.0547,bf16,1.5B,32,1564837888
2,11.2222,,74772.84,,4628,7081.0,7081.0,65536,17.8,17.8,6.00e-06,5.0563,bf16,1.5B,32,1564837888
3,11.2264,,75083.53,,4622,7089.8,7089.8,98304,24.9,24.9,9.00e-06,5.0671,bf16,1.5B,32,1564837888
4,11.2173,,74403.73,,4654,7040.4,7040.4,131072,32.0,32.0,1.20e-05,5.0534,bf16,1.5B,32,1564837888
5,11.2024,,73308.98,,4661,7030.8,7030.8,163840,39.0,39.0,1.50e-05,5.2246,bf16,1.5B,32,1564837888
6,11.1841,,71979.55,,4631,7076.2,7076.2,196608,46.1,46.1,1.80e-05,5.0706,bf16,1.5B,32,1564837888
7,11.1621,,70413.34,,4640,7061.9,7061.9,229376,53.1,53.1,2.10e-05,5.0534,bf16,1.5B,32,1564837888
8,11.1194,,67467.29,,4634,7071.1,7071.1,262144,60.2,60.2,2.40e-05,5.0791,bf16,1.5B,32,1564837888
9,11.0343,,61961.43,,4630,7077.8,7077.8,294912,67.3,67.3,2.70e-05,5.0921,bf16,1.5B,32,1564837888
10,10.9569,,57347.93,,4611,7106.3,7106.3,327680,74.4,74.4,3.00e-05,5.1193,bf16,1.5B,32,1564837888
11,10.8442,,51238.13,,4612,7104.7,7104.7,360448,81.5,81.5,3.30e-05,5.1775,bf16,1.5B,32,1564837888
12,10.7198,,45244.45,,4633,7072.4,7072.4,393216,88.6,88.6,3.60e-05,5.2461,bf16,1.5B,32,1564837888
13,10.5017,,36378.69,,4636,7067.6,7067.6,425984,95.6,95.6,3.90e-05,5.4174,bf16,1.5B,32,1564837888
14,9.9631,,21229.26,,4611,7106.4,7106.4,458752,102.7,102.7,4.20e-05,5.6523,bf16,1.5B,32,1564837888
15,9.9181,,20294.85,,4602,7120.0,7120.0,491520,109.9,109.9,4.50e-05,12.5369,bf16,1.5B,32,1564837888
16,9.5033,,13403.50,,4628,7080.4,7080.4,524288,116.9,116.9,4.80e-05,9.1769,bf16,1.5B,32,1564837888
17,9.4130,,12247.09,,4628,7080.6,7080.6,557056,124.0,124.0,5.10e-05,9.8943,bf16,1.5B,32,1564837888
18,9.2691,,10604.97,,4623,7088.3,7088.3,589824,131.1,131.1,5.40e-05,5.8794,bf16,1.5B,32,1564837888
19,9.0994,,8950.02,,4623,7088.0,7088.0,622592,138.2,138.2,5.70e-05,4.4199,bf16,1.5B,32,1564837888
20,8.9731,,7887.86,,4614,7102.3,7102.3,655360,145.3,145.3,6.00e-05,3.7294,bf16,1.5B,32,1564837888
21,8.9958,,8069.40,,4618,7095.0,7095.0,688128,152.4,152.4,6.30e-05,3.8292,bf16,1.5B,32,1564837888
22,8.8644,,7075.31,,4613,7104.0,7104.0,720896,159.5,159.5,6.60e-05,9.9855,bf16,1.5B,32,1564837888
23,8.7381,,6235.91,,4612,7104.7,7104.7,753664,166.6,166.6,6.90e-05,3.8602,bf16,1.5B,32,1564837888
