step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params
42,7.5334,,1869.41,,293885,6690.0,6690.0,82575360,297.2,297.2,2.33e-04,4.4462,fp8_tensorwise,250M,80,24,1920,265450496
43,7.3633,,1576.96,,293061,6708.8,6708.8,84541440,303.9,303.9,2.39e-04,2.0407,fp8_tensorwise,250M,80,24,1920,265450496
44,7.3321,,1528.58,,293554,6697.5,6697.5,86507520,310.6,310.6,2.44e-04,2.3595,fp8_tensorwise,250M,80,24,1920,265450496
45,7.2508,,1409.22,,293331,6702.6,6702.6,88473600,317.3,317.3,2.50e-04,2.2685,fp8_tensorwise,250M,80,24,1920,265450496
46,7.3182,,1507.48,,293128,6707.2,6707.2,90439680,324.0,324.0,2.56e-04,2.2705,fp8_tensorwise,250M,80,24,1920,265450496
47,7.2282,,1377.73,,293041,6709.2,6709.2,92405760,330.7,330.7,2.61e-04,1.0264,fp8_tensorwise,250M,80,24,1920,265450496
48,7.2204,,1366.99,,293682,6694.6,6694.6,94371840,337.4,337.4,2.67e-04,1.6398,fp8_tensorwise,250M,80,24,1920,265450496
49,7.2366,,1389.31,,293476,6699.3,6699.3,96337920,344.1,344.1,2.72e-04,1.0884,fp8_tensorwise,250M,80,24,1920,265450496
50,7.2023,,1342.53,,293206,6705.4,6705.4,98304000,350.8,350.8,2.78e-04,1.8029,fp8_tensorwise,250M,80,24,1920,265450496
51,7.1733,,1304.10,,283078,6945.4,6945.4,100270080,357.7,357.7,2.83e-04,2.1234,fp8_tensorwise,250M,80,24,1920,265450496
52,7.2100,,1352.87,,293547,6697.7,6697.7,102236160,364.4,364.4,2.89e-04,1.2863,fp8_tensorwise,250M,80,24,1920,265450496
53,7.1696,,1299.37,,293437,6700.2,6700.2,104202240,371.1,371.1,2.94e-04,0.6427,fp8_tensorwise,250M,80,24,1920,265450496
54,7.2204,,1366.97,,293558,6697.4,6697.4,106168320,377.8,377.8,3.00e-04,0.7581,fp8_tensorwise,250M,80,24,1920,265450496
55,7.1160,,1231.52,,293280,6703.8,6703.8,108134400,384.5,384.5,3.00e-04,0.8730,fp8_tensorwise,250M,80,24,1920,265450496
56,7.1105,,1224.74,,293190,6705.8,6705.8,110100480,391.2,391.2,3.00e-04,0.5790,fp8_tensorwise,250M,80,24,1920,265450496
