step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
44,7.4193,,1667.88,,6208,5278.1,5278.1,1441792,252.6,252.6,1.32e-04,1.5925,fp8_tensorwise,1.5B,32,1564837888
45,7.7921,,2421.30,,6230,5259.6,5259.6,1474560,257.8,257.8,1.35e-04,1.4631,fp8_tensorwise,1.5B,32,1564837888
46,7.3300,,1525.43,,6212,5275.3,5275.3,1507328,263.1,263.1,1.38e-04,1.5098,fp8_tensorwise,1.5B,32,1564837888
47,7.1682,,1297.50,,6207,5279.1,5279.1,1540096,268.4,268.4,1.41e-04,1.3805,fp8_tensorwise,1.5B,32,1564837888
48,7.1605,,1287.55,,6232,5258.4,5258.4,1572864,273.7,273.6,1.44e-04,1.3569,fp8_tensorwise,1.5B,32,1564837888
49,7.2745,,1443.10,,6276,5221.1,5221.1,1605632,278.9,278.8,1.47e-04,1.4012,fp8_tensorwise,1.5B,32,1564837888
50,7.1014,,1213.66,,6261,5233.3,5233.3,1638400,284.1,284.1,1.50e-04,1.3231,fp8_tensorwise,1.5B,32,1564837888
51,7.1286,,1247.16,,6249,5243.4,5243.4,1671168,289.4,289.3,1.53e-04,1.8306,fp8_tensorwise,1.5B,32,1564837888
52,7.3923,,1623.36,,6282,5215.9,5215.9,1703936,294.6,294.5,1.56e-04,1.2042,fp8_tensorwise,1.5B,32,1564837888
53,7.3052,,1488.02,,6212,5275.2,5275.2,1736704,299.9,299.8,1.59e-04,1.3795,fp8_tensorwise,1.5B,32,1564837888
54,6.9548,,1048.21,,6231,5258.6,5258.6,1769472,305.1,305.1,1.62e-04,1.0774,fp8_tensorwise,1.5B,32,1564837888
55,7.1489,,1272.74,,6237,5253.6,5253.6,1802240,310.4,310.3,1.65e-04,2.3403,fp8_tensorwise,1.5B,32,1564837888
