step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
1,10.8337,,50700.00,,3021,10845.2,10845.2,32768,10.8,10.8,3.00e-06,0.4722,bf16,1.5B,32,1564837888
2,10.8303,,50527.58,,4643,7057.8,7057.8,65536,17.9,17.9,6.00e-06,0.4773,bf16,1.5B,32,1564837888
3,10.8183,,49928.15,,4674,7010.8,7010.8,98304,24.9,24.9,9.00e-06,0.5240,bf16,1.5B,32,1564837888
4,10.7853,,48304.97,,4650,7046.8,7046.8,131072,32.0,32.0,1.20e-05,0.7542,bf16,1.5B,32,1564837888
5,10.7002,,44365.28,,4633,7072.8,7072.8,163840,39.0,39.0,1.50e-05,1.7978,bf16,1.5B,32,1564837888
6,10.6150,,40742.20,,4649,7048.8,7048.8,196608,46.1,46.1,1.80e-05,2.2114,bf16,1.5B,32,1564837888
7,10.4711,,35280.80,,4650,7047.6,7047.6,229376,53.1,53.1,2.10e-05,2.9418,bf16,1.5B,32,1564837888
8,10.3368,,30847.56,,4645,7055.0,7055.0,262144,60.2,60.2,2.40e-05,3.6168,bf16,1.5B,32,1564837888
9,10.2532,,28372.37,,4632,7074.7,7074.7,294912,67.3,67.3,2.70e-05,3.8290,bf16,1.5B,32,1564837888
10,10.1845,,26490.46,,4608,7111.9,7111.9,327680,74.4,74.4,3.00e-05,3.8678,bf16,1.5B,32,1564837888
11,10.1194,,24819.80,,4628,7079.9,7079.9,360448,81.5,81.5,3.30e-05,3.9425,bf16,1.5B,32,1564837888
12,10.0838,,23952.09,,4618,7095.4,7095.4,393216,88.5,88.5,3.60e-05,3.7218,bf16,1.5B,32,1564837888
13,10.0571,,23321.36,,4632,7073.8,7073.8,425984,95.6,95.6,3.90e-05,3.5640,bf16,1.5B,32,1564837888
14,9.9490,,20931.11,,4620,7092.5,7092.5,458752,102.7,102.7,4.20e-05,3.7827,bf16,1.5B,32,1564837888
15,9.8557,,19067.37,,4600,7122.7,7122.7,491520,109.8,109.8,4.50e-05,3.9234,bf16,1.5B,32,1564837888
16,9.7970,,17980.12,,4622,7088.9,7088.9,524288,116.9,116.9,4.80e-05,3.8611,bf16,1.5B,32,1564837888
17,9.6987,,16295.65,,4595,7131.0,7131.0,557056,124.1,124.1,5.10e-05,3.7829,bf16,1.5B,32,1564837888
18,9.6280,,15183.35,,4627,7082.5,7082.5,589824,131.1,131.1,5.40e-05,3.6889,bf16,1.5B,32,1564837888
19,9.4943,,13283.35,,4595,7131.9,7131.9,622592,138.3,138.3,5.70e-05,3.8294,bf16,1.5B,32,1564837888
20,9.3932,,12007.02,,4614,7101.5,7101.5,655360,145.4,145.4,6.00e-05,3.8135,bf16,1.5B,32,1564837888
21,9.3430,,11418.68,,4644,7055.4,7055.4,688128,152.4,152.4,6.30e-05,3.5792,bf16,1.5B,32,1564837888
22,9.1909,,9807.27,,4591,7137.0,7137.0,720896,159.6,159.6,6.60e-05,3.5945,bf16,1.5B,32,1564837888
23,9.1143,,9083.82,,4604,7117.2,7117.2,753664,166.7,166.7,6.90e-05,3.7664,bf16,1.5B,32,1564837888
24,8.9875,,8002.66,,4637,7067.1,7067.1,786432,173.8,173.7,7.20e-05,3.5475,bf16,1.5B,32,1564837888
25,8.7925,,6584.57,,4629,7079.2,7079.2,819200,180.8,180.8,7.50e-05,3.8756,bf16,1.5B,32,1564837888
26,8.8060,,6673.86,,4606,7114.7,7114.7,851968,187.9,187.9,7.80e-05,3.5943,bf16,1.5B,32,1564837888
27,8.6317,,5606.66,,4586,7145.0,7145.0,884736,195.1,195.1,8.10e-05,3.5475,bf16,1.5B,32,1564837888
28,8.5011,,4920.42,,4633,7072.9,7072.9,917504,202.2,202.2,8.40e-05,3.5005,bf16,1.5B,32,1564837888
29,8.5311,,5069.97,,4602,7120.5,7120.5,950272,209.3,209.3,8.70e-05,3.2505,bf16,1.5B,32,1564837888
30,8.3712,,4320.80,,4615,7100.7,7100.7,983040,216.4,216.4,9.00e-05,3.2817,bf16,1.5B,32,1564837888
31,8.2787,,3938.97,,4620,7092.4,7092.4,1015808,223.5,223.5,9.30e-05,3.2505,bf16,1.5B,32,1564837888
32,8.1743,,3548.53,,4580,7154.8,7154.8,1048576,230.6,230.6,9.60e-05,3.0473,bf16,1.5B,32,1564837888
33,7.9450,,2821.35,,4603,7119.0,7119.0,1081344,237.8,237.7,9.90e-05,3.0629,bf16,1.5B,32,1564837888
34,8.0190,,3038.09,,4613,7103.1,7103.1,1114112,244.9,244.9,1.02e-04,2.5941,bf16,1.5B,32,1564837888
35,7.8832,,2652.47,,4584,7149.1,7149.1,1146880,252.0,252.0,1.05e-04,2.3910,bf16,1.5B,32,1564837888
36,7.8194,,2488.42,,4623,7087.7,7087.7,1179648,259.1,259.1,1.08e-04,2.1253,bf16,1.5B,32,1564837888
37,7.7925,,2422.39,,4608,7110.6,7110.6,1212416,266.2,266.2,1.11e-04,1.9065,bf16,1.5B,32,1564837888
38,7.6923,,2191.46,,4588,7142.5,7142.5,1245184,273.3,273.3,1.14e-04,1.5080,bf16,1.5B,32,1564837888
39,7.5943,,1986.81,,4620,7093.1,7093.1,1277952,280.4,280.4,1.17e-04,1.1957,bf16,1.5B,32,1564837888
40,7.6763,,2156.58,,4594,7132.7,7132.7,1310720,287.6,287.6,1.20e-04,0.7776,bf16,1.5B,32,1564837888
41,7.7687,,2365.38,,4621,7090.7,7090.7,1343488,294.7,294.7,1.23e-04,1.0946,bf16,1.5B,32,1564837888
42,7.7705,,2369.62,,4588,7141.9,7141.9,1376256,301.8,301.8,1.26e-04,0.8758,bf16,1.5B,32,1564837888
43,7.6810,,2166.83,,4622,7089.8,7089.8,1409024,308.9,308.9,1.29e-04,1.2975,bf16,1.5B,32,1564837888
44,7.7525,,2327.46,,4602,7120.1,7120.1,1441792,316.0,316.0,1.32e-04,1.3370,bf16,1.5B,32,1564837888
45,8.0980,,3287.85,,4616,7098.2,7098.2,1474560,323.1,323.1,1.35e-04,1.7759,bf16,1.5B,32,1564837888
46,7.7400,,2298.57,,4593,7134.7,7134.7,1507328,330.3,330.2,1.38e-04,1.3366,bf16,1.5B,32,1564837888
47,7.6224,,2043.39,,4606,7113.8,7113.8,1540096,337.4,337.4,1.41e-04,1.3429,bf16,1.5B,32,1564837888
48,7.6300,,2058.96,,4622,7088.9,7088.9,1572864,344.5,344.4,1.44e-04,1.1057,bf16,1.5B,32,1564837888
49,7.7111,,2232.96,,4618,7095.1,7095.1,1605632,351.5,351.5,1.47e-04,0.8483,bf16,1.5B,32,1564837888
50,7.5967,,1991.54,,4603,7118.8,7118.8,1638400,358.7,358.7,1.50e-04,1.2357,bf16,1.5B,32,1564837888
51,7.6377,,2074.96,,4606,7114.9,7114.9,1671168,365.8,365.8,1.53e-04,1.2360,bf16,1.5B,32,1564837888
52,7.8291,,2512.78,,4604,7116.6,7116.6,1703936,372.9,372.9,1.56e-04,1.0176,bf16,1.5B,32,1564837888
53,7.7781,,2387.85,,4600,7122.7,7122.7,1736704,380.0,380.0,1.59e-04,0.8055,bf16,1.5B,32,1564837888
54,7.5615,,1922.75,,4605,7116.1,7116.1,1769472,387.1,387.1,1.62e-04,1.1700,bf16,1.5B,32,1564837888
55,7.6862,,2178.01,,4590,7138.8,7138.8,1802240,394.3,394.3,1.65e-04,0.7906,bf16,1.5B,32,1564837888
56,7.6206,,2039.79,,4626,7084.1,7084.1,1835008,401.4,401.4,1.68e-04,0.6528,bf16,1.5B,32,1564837888
57,7.7798,,2391.78,,4593,7134.1,7134.1,1867776,408.5,408.5,1.71e-04,0.8240,bf16,1.5B,32,1564837888
58,7.6088,,2015.94,,4593,7133.7,7133.7,1900544,415.6,415.6,1.74e-04,0.7003,bf16,1.5B,32,1564837888
59,7.7632,,2352.32,,4610,7108.0,7108.0,1933312,422.7,422.7,1.77e-04,0.8676,bf16,1.5B,32,1564837888
60,7.8665,,2608.44,,4587,7143.5,7143.5,1966080,429.9,429.9,1.80e-04,1.1335,bf16,1.5B,32,1564837888
61,7.7677,,2363.01,,4590,7139.6,7139.6,1998848,437.0,437.0,1.83e-04,1.1680,bf16,1.5B,32,1564837888
62,8.0045,,2994.42,,4611,7106.1,7106.1,2031616,444.1,444.1,1.86e-04,1.2428,bf16,1.5B,32,1564837888
63,7.6868,,2179.32,,4600,7122.9,7122.9,2064384,451.3,451.2,1.89e-04,0.6886,bf16,1.5B,32,1564837888
64,7.7787,,2389.14,,4611,7107.2,7107.2,2097152,458.4,458.3,1.92e-04,1.1497,bf16,1.5B,32,1564837888
65,7.7849,,2404.11,,4591,7137.4,7137.4,2129920,465.5,465.5,1.95e-04,1.2134,bf16,1.5B,32,1564837888
66,7.8103,,2465.85,,4597,7127.6,7127.6,2162688,472.6,472.6,1.98e-04,1.1893,bf16,1.5B,32,1564837888
67,7.7209,,2254.94,,4576,7160.9,7160.9,2195456,479.8,479.8,2.01e-04,0.7003,bf16,1.5B,32,1564837888
68,7.7326,,2281.45,,4581,7153.4,7153.4,2228224,486.9,486.9,2.04e-04,0.8348,bf16,1.5B,32,1564837888
69,7.6702,,2143.43,,4584,7147.7,7147.7,2260992,494.1,494.1,2.07e-04,0.6579,bf16,1.5B,32,1564837888
70,7.7382,,2294.34,,4578,7158.1,7158.1,2293760,501.2,501.2,2.10e-04,0.7443,bf16,1.5B,32,1564837888
71,8.0232,,3051.07,,4569,7171.1,7171.1,2326528,508.4,508.4,2.13e-04,1.0001,bf16,1.5B,32,1564837888
72,7.7587,,2341.80,,4597,7127.7,7127.7,2359296,515.5,515.5,2.16e-04,0.7312,bf16,1.5B,32,1564837888
73,7.5770,,1952.67,,4596,7130.3,7130.3,2392064,522.7,522.7,2.19e-04,1.1828,bf16,1.5B,32,1564837888
74,7.5517,,1903.95,,4596,7130.0,7130.0,2424832,529.8,529.8,2.22e-04,0.8008,bf16,1.5B,32,1564837888
75,7.7878,,2411.01,,4593,7134.6,7134.6,2457600,536.9,536.9,2.25e-04,1.2379,bf16,1.5B,32,1564837888
76,7.7095,,2229.34,,4603,7119.3,7119.3,2490368,544.1,544.0,2.28e-04,1.4421,bf16,1.5B,32,1564837888
77,7.8518,,2570.44,,4606,7114.7,7114.7,2523136,551.2,551.2,2.31e-04,1.3195,bf16,1.5B,32,1564837888
78,7.7751,,2380.53,,4602,7119.7,7119.7,2555904,558.3,558.3,2.34e-04,0.7603,bf16,1.5B,32,1564837888
79,7.6470,,2094.42,,4597,7128.9,7128.9,2588672,565.4,565.4,2.37e-04,1.1611,bf16,1.5B,32,1564837888
80,7.6890,,2184.10,,4600,7123.4,7123.4,2621440,572.5,572.5,2.40e-04,1.3055,bf16,1.5B,32,1564837888
81,7.5669,,1933.19,,4605,7116.4,7116.4,2654208,579.7,579.6,2.43e-04,1.3364,bf16,1.5B,32,1564837888
82,7.6887,,2183.46,,4611,7106.2,7106.2,2686976,586.8,586.8,2.46e-04,0.8288,bf16,1.5B,32,1564837888
83,7.7577,,2339.62,,4576,7161.1,7161.1,2719744,593.9,593.9,2.49e-04,1.2216,bf16,1.5B,32,1564837888
84,7.5734,,1945.67,,4586,7145.3,7145.3,2752512,601.1,601.1,2.52e-04,0.9181,bf16,1.5B,32,1564837888
85,7.6570,,2115.31,,4588,7142.4,7142.4,2785280,608.2,608.2,2.55e-04,0.7974,bf16,1.5B,32,1564837888
86,7.7797,,2391.50,,4581,7152.4,7152.4,2818048,615.4,615.4,2.58e-04,0.6894,bf16,1.5B,32,1564837888
87,7.6444,,2089.00,,4558,7188.5,7188.5,2850816,622.6,622.5,2.61e-04,0.8057,bf16,1.5B,32,1564837888
88,7.7502,,2322.14,,4604,7117.5,7117.5,2883584,629.7,629.7,2.64e-04,0.8495,bf16,1.5B,32,1564837888
89,7.6452,,2090.66,,4609,7108.9,7108.9,2916352,636.8,636.8,2.67e-04,0.7935,bf16,1.5B,32,1564837888
90,7.6231,,2044.79,,4610,7108.2,7108.2,2949120,643.9,643.9,2.70e-04,0.7192,bf16,1.5B,32,1564837888
91,7.7079,,2225.77,,4591,7137.2,7137.2,2981888,651.0,651.0,2.73e-04,1.0424,bf16,1.5B,32,1564837888
92,7.7111,,2233.00,,4589,7140.6,7140.6,3014656,658.2,658.2,2.76e-04,1.0444,bf16,1.5B,32,1564837888
93,7.8582,,2586.94,,4593,7134.0,7134.0,3047424,665.3,665.3,2.79e-04,0.8584,bf16,1.5B,32,1564837888
94,7.7949,,2428.30,,4593,7134.3,7134.3,3080192,672.4,672.4,2.82e-04,0.7469,bf16,1.5B,32,1564837888
