step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params
45,7.0530,,1156.27,,82849,25510.9,25510.9,95109120,1151.8,1151.8,3.00e-04,0.9092,bf16,125M,48,43,2064,143248128
46,7.0491,,1151.78,,82087,25747.6,25747.6,97222656,1177.5,1177.5,3.00e-04,0.5582,bf16,125M,48,43,2064,143248128
47,7.0423,,1143.96,,82189,25715.7,25715.7,99336192,1203.2,1203.2,3.00e-04,1.5925,bf16,125M,48,43,2064,143248128
48,7.0603,,1164.79,,82907,25492.9,25492.9,101449728,1228.7,1228.7,3.00e-04,0.7922,bf16,125M,48,43,2064,143248128
49,7.0461,,1148.37,,83511,25308.5,25308.5,103563264,1254.0,1254.0,3.00e-04,0.5263,bf16,125M,48,43,2064,143248128
50,7.1027,,1215.25,,83349,25357.8,25357.8,105676800,1279.4,1279.4,3.00e-04,1.1207,bf16,125M,48,43,2064,143248128
51,7.4216,,1671.75,,83665,25262.0,25262.0,107790336,1304.7,1304.7,3.00e-04,8.1840,bf16,125M,48,43,2064,143248128
52,6.9774,,1072.10,,84086,25135.5,25135.5,109903872,1329.8,1329.8,3.00e-04,0.5919,bf16,125M,48,43,2064,143248128
53,7.1098,,1223.96,,83543,25298.8,25298.8,112017408,1355.1,1355.1,3.00e-04,2.0238,bf16,125M,48,43,2064,143248128
54,7.0738,,1180.64,,83563,25292.7,25292.7,114130944,1380.4,1380.4,3.00e-04,0.8039,bf16,125M,48,43,2064,143248128
55,7.1532,,1278.19,,84643,24970.1,24970.1,116244480,1405.4,1405.3,3.00e-04,1.8679,bf16,125M,48,43,2064,143248128
56,7.0838,,1192.46,,83924,25184.0,25184.0,118358016,1430.5,1430.5,3.00e-04,1.2004,bf16,125M,48,43,2064,143248128
57,7.0002,,1096.80,,83190,25406.0,25406.0,120471552,1455.9,1455.9,3.00e-04,1.5842,bf16,125M,48,43,2064,143248128
58,7.1032,,1215.85,,83632,25271.8,25271.8,122585088,1481.2,1481.2,2.99e-04,1.5177,bf16,125M,48,43,2064,143248128
59,7.0153,,1113.58,,84633,24972.9,24972.9,124698624,1506.2,1506.2,2.99e-04,0.4530,bf16,125M,48,43,2064,143248128
60,6.9617,,1055.46,,83784,25226.2,25226.2,126812160,1531.4,1531.4,2.99e-04,0.7044,bf16,125M,48,43,2064,143248128
61,6.9338,,1026.37,,83124,25426.2,25426.2,128925696,1556.8,1556.8,2.99e-04,0.7413,bf16,125M,48,43,2064,143248128
62,6.9018,,994.08,,83212,25399.5,25399.5,131039232,1582.2,1582.2,2.99e-04,0.3911,bf16,125M,48,43,2064,143248128
63,6.9679,,1062.01,,83309,25369.7,25369.7,133152768,1607.6,1607.6,2.99e-04,0.7526,bf16,125M,48,43,2064,143248128
64,6.9357,,1028.39,,83298,25373.2,25373.2,135266304,1633.0,1633.0,2.99e-04,0.5197,bf16,125M,48,43,2064,143248128
65,6.9177,,1010.03,,83557,25294.4,25294.4,137379840,1658.3,1658.3,2.99e-04,0.3833,bf16,125M,48,43,2064,143248128
66,6.8890,,981.44,,83235,25392.5,25392.5,139493376,1683.7,1683.7,2.99e-04,0.6138,bf16,125M,48,43,2064,143248128
67,6.9403,,1033.12,,82728,25548.1,25548.1,141606912,1709.2,1709.2,2.99e-04,0.6918,bf16,125M,48,43,2064,143248128
68,6.9137,,1005.99,,82715,25551.9,25551.9,143720448,1734.8,1734.8,2.99e-04,1.5638,bf16,125M,48,43,2064,143248128
69,6.9634,,1057.27,,83421,25335.6,25335.6,145833984,1760.1,1760.1,2.99e-04,1.8424,bf16,125M,48,43,2064,143248128
70,6.9493,,1042.41,,83367,25352.1,25352.1,147947520,1785.5,1785.5,2.99e-04,1.1771,bf16,125M,48,43,2064,143248128
71,6.9543,,1047.65,,82762,25537.6,25537.6,150061056,1811.0,1811.0,2.99e-04,0.3922,bf16,125M,48,43,2064,143248128
72,7.1890,,1324.80,,82666,25567.2,25567.2,152174592,1836.6,1836.6,2.99e-04,7.8630,bf16,125M,48,43,2064,143248128
73,6.9066,,998.85,,83252,25387.2,25387.2,154288128,1861.9,1861.9,2.99e-04,1.2479,bf16,125M,48,43,2064,143248128
74,6.9487,,1041.82,,83442,25329.6,25329.6,156401664,1887.3,1887.3,2.99e-04,1.1168,bf16,125M,48,43,2064,143248128
75,6.9434,,1036.31,,83114,25429.2,25429.2,158515200,1912.7,1912.7,2.99e-04,0.7777,bf16,125M,48,43,2064,143248128
76,7.0003,,1096.98,,83331,25363.1,25363.1,160628736,1938.1,1938.1,2.99e-04,0.9840,bf16,125M,48,43,2064,143248128
77,6.8757,,968.41,,83367,25352.1,25352.1,162742272,1963.4,1963.4,2.99e-04,0.7101,bf16,125M,48,43,2064,143248128
78,6.9272,,1019.68,,83265,25383.3,25383.3,164855808,1988.8,1988.8,2.99e-04,0.7914,bf16,125M,48,43,2064,143248128
79,6.9339,,1026.52,,82763,25537.3,25537.3,166969344,2014.3,2014.3,2.99e-04,2.2772,bf16,125M,48,43,2064,143248128
80,6.9294,,1021.88,,82588,25591.5,25591.5,169082880,2039.9,2039.9,2.99e-04,1.0331,bf16,125M,48,43,2064,143248128
81,6.9976,,1094.03,,82686,25561.0,25561.0,171196416,2065.5,2065.5,2.99e-04,0.5923,bf16,125M,48,43,2064,143248128
82,6.9270,,1019.43,,83323,25365.7,25365.7,173309952,2090.9,2090.9,2.98e-04,0.6660,bf16,125M,48,43,2064,143248128
83,6.9916,,1087.41,,83697,25252.1,25252.1,175423488,2116.1,2116.1,2.98e-04,0.6618,bf16,125M,48,43,2064,143248128
84,7.0168,,1115.25,,83091,25436.3,25436.3,177537024,2141.6,2141.5,2.98e-04,0.7247,bf16,125M,48,43,2064,143248128
85,6.8903,,982.68,,81959,25787.8,25787.8,179650560,2167.3,2167.3,2.98e-04,0.6626,bf16,125M,48,43,2064,143248128
86,6.8343,,929.16,,81944,25792.4,25792.4,181764096,2193.1,2193.1,2.98e-04,1.0396,bf16,125M,48,43,2064,143248128
87,6.8621,,955.41,,81953,25789.7,25789.7,183877632,2218.9,2218.9,2.98e-04,0.4648,bf16,125M,48,43,2064,143248128
88,6.8148,,911.20,,82222,25705.2,25705.2,185991168,2244.6,2244.6,2.98e-04,0.8318,bf16,125M,48,43,2064,143248128
89,6.9381,,1030.77,,82693,25558.7,25558.7,188104704,2270.2,2270.2,2.98e-04,0.7851,bf16,125M,48,43,2064,143248128
90,6.8247,,920.28,,82719,25550.8,25550.8,190218240,2295.7,2295.7,2.98e-04,0.3927,bf16,125M,48,43,2064,143248128
91,6.8558,,949.36,,82324,25673.5,25673.5,192331776,2321.4,2321.4,2.98e-04,0.8332,bf16,125M,48,43,2064,143248128
92,6.8313,,926.36,,81994,25776.6,25776.6,194445312,2347.2,2347.2,2.98e-04,0.6546,bf16,125M,48,43,2064,143248128
93,6.7381,,844.00,,81950,25790.4,25790.4,196558848,2373.0,2373.0,2.98e-04,0.6174,bf16,125M,48,43,2064,143248128
94,6.7459,,850.57,,81940,25793.8,25793.8,198672384,2398.8,2398.8,2.98e-04,0.9452,bf16,125M,48,43,2064,143248128
95,6.8246,,920.20,,80946,26110.4,26110.4,200785920,2424.9,2424.9,2.98e-04,1.2095,bf16,125M,48,43,2064,143248128
96,6.7266,,834.35,,81947,25791.6,25791.6,202899456,2450.7,2450.7,2.98e-04,0.8121,bf16,125M,48,43,2064,143248128
97,6.6625,,782.52,,82010,25771.8,25771.8,205012992,2476.4,2476.4,2.98e-04,0.7290,bf16,125M,48,43,2064,143248128
98,6.7889,,887.94,,81941,25793.4,25793.4,207126528,2502.2,2502.2,2.98e-04,1.5652,bf16,125M,48,43,2064,143248128
99,6.7546,,857.95,,81938,25794.5,25794.5,209240064,2528.0,2528.0,2.97e-04,0.6118,bf16,125M,48,43,2064,143248128
100,6.7364,6.6996,842.55,812.08,81883,25811.6,25811.6,211353600,2553.8,2553.8,2.97e-04,0.9081,bf16,125M,48,43,2064,143248128
101,6.7149,,824.59,,80741,26176.8,26176.8,213467136,2592.4,2580.0,2.97e-04,1.4078,bf16,125M,48,43,2064,143248128
102,6.6919,,805.86,,80899,26125.5,26125.5,215580672,2618.6,2606.1,2.97e-04,0.6471,bf16,125M,48,43,2064,143248128
103,6.6475,,770.85,,81818,25832.1,25832.1,217694208,2644.4,2632.0,2.97e-04,1.0563,bf16,125M,48,43,2064,143248128
104,6.5806,,720.95,,81299,25997.0,25997.0,219807744,2670.4,2658.0,2.97e-04,0.7391,bf16,125M,48,43,2064,143248128
105,6.5974,,733.19,,80560,26235.6,26235.6,221921280,2696.6,2684.2,2.97e-04,1.1192,bf16,125M,48,43,2064,143248128
