step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
44,7.4019,,1639.03,,5041,6500.8,6500.8,1441792,359.0,359.0,1.32e-04,1.4487,fp8_rowwise,1.5B,32,1564837888
45,7.7747,,2379.52,,5056,6481.0,6481.0,1474560,365.5,365.4,1.35e-04,1.3227,fp8_rowwise,1.5B,32,1564837888
46,7.3144,,1501.78,,5037,6505.1,6505.1,1507328,372.0,371.9,1.38e-04,1.4093,fp8_rowwise,1.5B,32,1564837888
47,7.1432,,1265.53,,5063,6471.5,6471.5,1540096,378.4,378.4,1.41e-04,1.2781,fp8_rowwise,1.5B,32,1564837888
48,7.1865,,1321.51,,5060,6476.5,6476.5,1572864,384.9,384.9,1.44e-04,1.8432,fp8_rowwise,1.5B,32,1564837888
49,7.2693,,1435.60,,5048,6491.3,6491.3,1605632,391.4,391.4,1.47e-04,1.3710,fp8_rowwise,1.5B,32,1564837888
50,7.1143,,1229.41,,5063,6472.1,6472.1,1638400,397.9,397.9,1.50e-04,1.5956,fp8_rowwise,1.5B,32,1564837888
51,7.1196,,1235.96,,5041,6500.4,6500.4,1671168,404.4,404.4,1.53e-04,1.3784,fp8_rowwise,1.5B,32,1564837888
52,7.3787,,1601.43,,5063,6472.2,6472.2,1703936,410.9,410.8,1.56e-04,1.4383,fp8_rowwise,1.5B,32,1564837888
53,7.2863,,1460.12,,5053,6484.6,6484.6,1736704,417.3,417.3,1.59e-04,1.6969,fp8_rowwise,1.5B,32,1564837888
54,6.9601,,1053.73,,5063,6472.3,6472.3,1769472,423.8,423.8,1.62e-04,1.4594,fp8_rowwise,1.5B,32,1564837888
55,7.1184,,1234.47,,5062,6474.0,6474.0,1802240,430.3,430.3,1.65e-04,1.5034,fp8_rowwise,1.5B,32,1564837888
56,7.0275,,1127.23,,5066,6468.4,6468.4,1835008,436.8,436.7,1.68e-04,1.2778,fp8_rowwise,1.5B,32,1564837888
57,7.1943,,1331.80,,5053,6485.5,6485.5,1867776,443.2,443.2,1.71e-04,1.5062,fp8_rowwise,1.5B,32,1564837888
58,6.9926,,1088.59,,5058,6478.2,6478.2,1900544,449.7,449.7,1.74e-04,1.6657,fp8_rowwise,1.5B,32,1564837888
59,7.1668,,1295.63,,5056,6480.9,6480.9,1933312,456.2,456.2,1.77e-04,1.0904,fp8_rowwise,1.5B,32,1564837888
60,7.3203,,1510.70,,5057,6479.7,6479.7,1966080,462.7,462.7,1.80e-04,1.7113,fp8_rowwise,1.5B,32,1564837888
61,7.1472,,1270.49,,5073,6459.7,6459.7,1998848,469.1,469.1,1.83e-04,1.3381,fp8_rowwise,1.5B,32,1564837888
62,7.4759,,1765.00,,5041,6500.9,6500.9,2031616,475.6,475.6,1.86e-04,1.9828,fp8_rowwise,1.5B,32,1564837888
63,7.0052,,1102.32,,5040,6501.0,6501.0,2064384,482.1,482.1,1.89e-04,1.2358,fp8_rowwise,1.5B,32,1564837888
64,7.1430,,1265.19,,5049,6490.4,6490.4,2097152,488.6,488.6,1.92e-04,1.8233,fp8_rowwise,1.5B,32,1564837888
65,7.1329,,1252.54,,5055,6482.7,6482.7,2129920,495.1,495.1,1.95e-04,1.3315,fp8_rowwise,1.5B,32,1564837888
66,7.2184,,1364.26,,5067,6467.5,6467.5,2162688,501.6,501.6,1.98e-04,1.5925,fp8_rowwise,1.5B,32,1564837888
67,7.0995,,1211.35,,5040,6501.4,6501.4,2195456,508.1,508.1,2.01e-04,1.6963,fp8_rowwise,1.5B,32,1564837888
68,7.0794,,1187.31,,5034,6509.1,6509.1,2228224,514.6,514.6,2.04e-04,1.3670,fp8_rowwise,1.5B,32,1564837888
69,6.9498,,1042.91,,5065,6469.3,6469.3,2260992,521.1,521.0,2.07e-04,1.1679,fp8_rowwise,1.5B,32,1564837888
70,7.0351,,1135.82,,5027,6518.7,6518.7,2293760,527.6,527.6,2.10e-04,1.6168,fp8_rowwise,1.5B,32,1564837888
71,7.3747,,1595.14,,5053,6485.2,6485.2,2326528,534.1,534.0,2.13e-04,1.5208,fp8_rowwise,1.5B,32,1564837888
72,7.0604,,1164.95,,5050,6488.5,6488.5,2359296,540.6,540.5,2.16e-04,1.1424,fp8_rowwise,1.5B,32,1564837888
73,6.7078,,818.75,,5035,6508.6,6508.6,2392064,547.1,547.0,2.19e-04,1.0923,fp8_rowwise,1.5B,32,1564837888
74,6.7370,,843.03,,5068,6465.7,6465.7,2424832,553.5,553.5,2.22e-04,1.1643,fp8_rowwise,1.5B,32,1564837888
75,7.0215,,1120.51,,5069,6464.6,6464.6,2457600,560.0,560.0,2.25e-04,1.4229,fp8_rowwise,1.5B,32,1564837888
76,6.8916,,983.98,,5065,6469.8,6469.8,2490368,566.5,566.4,2.28e-04,1.4811,fp8_rowwise,1.5B,32,1564837888
77,7.0668,,1172.40,,5057,6479.6,6479.6,2523136,573.0,572.9,2.31e-04,1.7994,fp8_rowwise,1.5B,32,1564837888
78,6.9799,,1074.76,,5051,6487.7,6487.7,2555904,579.4,579.4,2.34e-04,1.2883,fp8_rowwise,1.5B,32,1564837888
79,6.7804,,880.38,,5069,6465.0,6465.0,2588672,585.9,585.9,2.37e-04,1.0164,fp8_rowwise,1.5B,32,1564837888
80,6.8487,,942.69,,5061,6474.9,6474.9,2621440,592.4,592.3,2.40e-04,1.4523,fp8_rowwise,1.5B,32,1564837888
81,6.7198,,828.66,,5044,6496.2,6496.2,2654208,598.9,598.8,2.43e-04,1.5253,fp8_rowwise,1.5B,32,1564837888
82,6.8606,,953.97,,5046,6494.0,6494.0,2686976,605.4,605.3,2.46e-04,1.1340,fp8_rowwise,1.5B,32,1564837888
83,6.8617,,954.99,,5049,6490.5,6490.5,2719744,611.9,611.8,2.49e-04,1.3871,fp8_rowwise,1.5B,32,1564837888
84,6.7054,,816.79,,5063,6472.6,6472.6,2752512,618.3,618.3,2.52e-04,1.1393,fp8_rowwise,1.5B,32,1564837888
85,6.7243,,832.42,,5040,6502.0,6502.0,2785280,624.8,624.8,2.55e-04,1.1004,fp8_rowwise,1.5B,32,1564837888
86,6.9260,,1018.38,,5035,6507.9,6507.9,2818048,631.3,631.3,2.58e-04,1.0033,fp8_rowwise,1.5B,32,1564837888
87,6.7407,,846.15,,5043,6497.3,6497.3,2850816,637.8,637.8,2.61e-04,1.5790,fp8_rowwise,1.5B,32,1564837888
88,6.8414,,935.79,,5036,6507.0,6507.0,2883584,644.4,644.3,2.64e-04,1.1013,fp8_rowwise,1.5B,32,1564837888
89,6.7386,,844.36,,5042,6499.5,6499.5,2916352,650.9,650.8,2.67e-04,1.2076,fp8_rowwise,1.5B,32,1564837888
90,6.6622,,782.30,,5026,6519.5,6519.5,2949120,657.4,657.3,2.70e-04,0.9312,fp8_rowwise,1.5B,32,1564837888
91,6.7175,,826.71,,5018,6529.7,6529.7,2981888,663.9,663.9,2.73e-04,1.3917,fp8_rowwise,1.5B,32,1564837888
92,6.8481,,942.11,,5040,6501.1,6501.1,3014656,670.4,670.4,2.76e-04,1.0930,fp8_rowwise,1.5B,32,1564837888
93,6.9661,,1060.10,,5068,6465.5,6465.5,3047424,676.9,676.8,2.79e-04,1.0995,fp8_rowwise,1.5B,32,1564837888
94,6.8684,,961.44,,5060,6475.7,6475.7,3080192,683.3,683.3,2.82e-04,1.2194,fp8_rowwise,1.5B,32,1564837888
95,6.9703,,1064.53,,5060,6476.3,6476.3,3112960,689.8,689.8,2.85e-04,1.0785,fp8_rowwise,1.5B,32,1564837888
96,7.2359,,1388.45,,5064,6471.3,6471.3,3145728,696.3,696.2,2.88e-04,1.7288,fp8_rowwise,1.5B,32,1564837888
97,6.9102,,1002.44,,5061,6474.9,6474.9,3178496,702.8,702.7,2.91e-04,2.8853,fp8_rowwise,1.5B,32,1564837888
98,6.8091,,906.09,,5069,6464.5,6464.5,3211264,709.2,709.2,2.94e-04,1.6218,fp8_rowwise,1.5B,32,1564837888
99,6.7918,,890.48,,5062,6474.0,6474.0,3244032,715.7,715.7,2.97e-04,1.5334,fp8_rowwise,1.5B,32,1564837888
100,6.9526,,1045.82,,5071,6461.7,6461.7,3276800,722.2,722.1,3.00e-04,1.4886,fp8_rowwise,1.5B,32,1564837888
