step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,grad_accum,effective_batch,num_params
1,10.8051,,49272.53,,55532,36584.9,36584.9,2031616,36.6,36.6,3.66e-06,0.5614,fp8_tensorwise,350M,64,31,1984,417514496
2,10.8021,,49124.34,,185474,10953.6,10953.6,4063232,47.5,47.5,7.32e-06,0.6164,fp8_tensorwise,350M,64,31,1984,417514496
3,10.8004,,49038.52,,185391,10958.6,10958.6,6094848,58.5,58.5,1.10e-05,0.6050,fp8_tensorwise,350M,64,31,1984,417514496
4,10.7902,,48541.49,,184957,10984.3,10984.3,8126464,69.5,69.5,1.46e-05,0.6938,fp8_tensorwise,350M,64,31,1984,417514496
5,10.7706,,47601.72,,185351,10960.9,10960.9,10158080,80.4,80.4,1.83e-05,0.9245,fp8_tensorwise,350M,64,31,1984,417514496
6,10.7383,,46087.67,,185194,10970.2,10970.2,12189696,91.4,91.4,2.20e-05,1.2696,fp8_tensorwise,350M,64,31,1984,417514496
7,10.6909,,43952.67,,185174,10971.4,10971.4,14221312,102.4,102.4,2.56e-05,1.6978,fp8_tensorwise,350M,64,31,1984,417514496
8,10.5857,,39563.70,,184888,10988.4,10988.4,16252928,113.4,113.4,2.93e-05,2.5502,fp8_tensorwise,350M,64,31,1984,417514496
9,10.4827,,35691.15,,184993,10982.1,10982.1,18284544,124.4,124.4,3.29e-05,3.0833,fp8_tensorwise,350M,64,31,1984,417514496
10,10.4204,,33536.41,,185031,10979.9,10979.9,20316160,135.3,135.3,3.66e-05,3.2041,fp8_tensorwise,350M,64,31,1984,417514496
11,10.3660,,31761.92,,185089,10976.4,10976.4,22347776,146.3,146.3,4.02e-05,3.2092,fp8_tensorwise,350M,64,31,1984,417514496
12,10.3094,,30014.21,,185082,10976.8,10976.8,24379392,157.3,157.3,4.39e-05,3.2674,fp8_tensorwise,350M,64,31,1984,417514496
13,10.2607,,28586.02,,185347,10961.1,10961.1,26411008,168.2,168.2,4.76e-05,3.2517,fp8_tensorwise,350M,64,31,1984,417514496
14,10.1956,,26784.76,,185609,10945.7,10945.7,28442624,179.2,179.2,5.12e-05,3.3777,fp8_tensorwise,350M,64,31,1984,417514496
15,10.1188,,24804.33,,185370,10959.8,10959.8,30474240,190.2,190.2,5.49e-05,3.5175,fp8_tensorwise,350M,64,31,1984,417514496
16,10.0429,,22992.94,,185336,10961.8,10961.8,32505856,201.1,201.1,5.85e-05,3.5952,fp8_tensorwise,350M,64,31,1984,417514496
17,10.0009,,22046.98,,185597,10946.4,10946.4,34537472,212.1,212.1,6.22e-05,3.3352,fp8_tensorwise,350M,64,31,1984,417514496
18,9.9211,,20354.45,,185539,10949.8,10949.8,36569088,223.0,223.0,6.59e-05,3.3495,fp8_tensorwise,350M,64,31,1984,417514496
19,9.8317,,18614.50,,185417,10957.0,10957.0,38600704,234.0,234.0,6.95e-05,3.4084,fp8_tensorwise,350M,64,31,1984,417514496
20,9.7627,,17373.95,,185746,10937.6,10937.6,40632320,244.9,244.9,7.32e-05,3.3992,fp8_tensorwise,350M,64,31,1984,417514496
21,9.6527,,15564.34,,185735,10938.2,10938.2,42663936,255.8,255.8,7.68e-05,3.4099,fp8_tensorwise,350M,64,31,1984,417514496
22,9.5727,,14366.55,,186243,10908.4,10908.4,44695552,266.8,266.8,8.05e-05,3.4289,fp8_tensorwise,350M,64,31,1984,417514496
23,9.4693,,12955.65,,186250,10908.0,10908.0,46727168,277.7,277.7,8.41e-05,3.4927,fp8_tensorwise,350M,64,31,1984,417514496
24,9.3820,,11872.36,,186417,10898.2,10898.2,48758784,288.6,288.6,8.78e-05,3.3497,fp8_tensorwise,350M,64,31,1984,417514496
25,9.2693,,10607.09,,186239,10908.6,10908.6,50790400,299.5,299.5,9.15e-05,3.4074,fp8_tensorwise,350M,64,31,1984,417514496
26,9.1818,,9718.64,,186314,10904.3,10904.3,52822016,310.4,310.4,9.51e-05,3.3191,fp8_tensorwise,350M,64,31,1984,417514496
27,9.1133,,9075.24,,186679,10882.9,10882.9,54853632,321.3,321.3,9.88e-05,3.1893,fp8_tensorwise,350M,64,31,1984,417514496
28,9.0109,,8191.49,,186426,10897.7,10897.7,56885248,332.2,332.2,1.02e-04,3.3138,fp8_tensorwise,350M,64,31,1984,417514496
29,8.9179,,7464.45,,186245,10908.3,10908.3,58916864,343.1,343.1,1.06e-04,3.3306,fp8_tensorwise,350M,64,31,1984,417514496
30,8.8126,,6718.36,,186492,10893.8,10893.8,60948480,354.0,354.0,1.10e-04,3.4404,fp8_tensorwise,350M,64,31,1984,417514496
31,8.7156,,6097.01,,186530,10891.6,10891.6,62980096,364.8,364.8,1.13e-04,3.4231,fp8_tensorwise,350M,64,31,1984,417514496
32,8.6145,,5510.98,,186509,10892.9,10892.9,65011712,375.7,375.7,1.17e-04,3.3444,fp8_tensorwise,350M,64,31,1984,417514496
33,8.5507,,5170.51,,186522,10892.1,10892.1,67043328,386.6,386.6,1.21e-04,3.1275,fp8_tensorwise,350M,64,31,1984,417514496
34,8.4638,,4740.24,,186006,10922.3,10922.3,69074944,397.6,397.6,1.24e-04,3.1278,fp8_tensorwise,350M,64,31,1984,417514496
35,8.3558,,4254.62,,185705,10940.0,10940.0,71106560,408.5,408.5,1.28e-04,3.2508,fp8_tensorwise,350M,64,31,1984,417514496
