step,train_loss,val_loss,perplexity,val_perplexity,tokens_per_sec,step_time_ms,train_time_ms,total_tokens,elapsed_time,train_time_total,lr,grad_norm,mode,model_size,batch_size,num_params
44,7.7542,,2331.24,,5290,6193.8,6193.8,1441792,287.0,287.0,1.32e-04,1.2123,fp8_tensorwise,1.5B,32,1564837888
45,8.0984,,3289.36,,5407,6060.5,6060.5,1474560,293.1,293.0,1.35e-04,1.5731,fp8_tensorwise,1.5B,32,1564837888
46,7.7318,,2279.60,,5437,6026.4,6026.4,1507328,299.1,299.1,1.38e-04,1.1256,fp8_tensorwise,1.5B,32,1564837888
47,7.6110,,2020.28,,5394,6074.4,6074.4,1540096,305.2,305.1,1.41e-04,1.1778,fp8_tensorwise,1.5B,32,1564837888
48,7.6239,,2046.59,,5419,6047.4,6047.4,1572864,311.2,311.2,1.44e-04,1.0520,fp8_tensorwise,1.5B,32,1564837888
49,7.7058,,2221.28,,5413,6053.0,6053.0,1605632,317.3,317.2,1.47e-04,0.5980,fp8_tensorwise,1.5B,32,1564837888
50,7.5938,,1985.85,,5362,6110.6,6110.6,1638400,323.4,323.4,1.50e-04,1.0638,fp8_tensorwise,1.5B,32,1564837888
51,7.6380,,2075.69,,5431,6034.1,6034.1,1671168,329.4,329.4,1.53e-04,1.0483,fp8_tensorwise,1.5B,32,1564837888
52,7.8323,,2520.66,,5404,6064.0,6064.0,1703936,335.5,335.5,1.56e-04,1.0571,fp8_tensorwise,1.5B,32,1564837888
53,7.7768,,2384.53,,5420,6046.2,6046.2,1736704,341.5,341.5,1.59e-04,0.7699,fp8_tensorwise,1.5B,32,1564837888
54,7.5577,,1915.50,,5434,6030.0,6030.0,1769472,347.6,347.5,1.62e-04,1.2235,fp8_tensorwise,1.5B,32,1564837888
55,7.6940,,2195.22,,5408,6059.7,6059.7,1802240,353.6,353.6,1.65e-04,1.1362,fp8_tensorwise,1.5B,32,1564837888
56,7.6264,,2051.68,,5415,6051.3,6051.3,1835008,359.7,359.6,1.68e-04,0.9968,fp8_tensorwise,1.5B,32,1564837888
57,7.7751,,2380.49,,5408,6058.9,6058.9,1867776,365.7,365.7,1.71e-04,0.7086,fp8_tensorwise,1.5B,32,1564837888
58,7.6144,,2027.26,,5388,6081.3,6081.3,1900544,371.8,371.8,1.74e-04,0.7822,fp8_tensorwise,1.5B,32,1564837888
59,7.7747,,2379.55,,5435,6029.3,6029.3,1933312,377.8,377.8,1.77e-04,0.8765,fp8_tensorwise,1.5B,32,1564837888
60,7.8660,,2607.09,,5389,6080.0,6080.0,1966080,383.9,383.9,1.80e-04,0.8330,fp8_tensorwise,1.5B,32,1564837888
61,7.7573,,2338.61,,5367,6105.1,6105.1,1998848,390.0,390.0,1.83e-04,0.9820,fp8_tensorwise,1.5B,32,1564837888
62,7.9991,,2978.19,,5459,6002.1,6002.1,2031616,396.0,396.0,1.86e-04,1.3447,fp8_tensorwise,1.5B,32,1564837888
63,7.6996,,2207.55,,5436,6027.6,6027.6,2064384,402.0,402.0,1.89e-04,0.9897,fp8_tensorwise,1.5B,32,1564837888
64,7.7739,,2377.75,,5378,6092.6,6092.6,2097152,408.1,408.1,1.92e-04,1.1879,fp8_tensorwise,1.5B,32,1564837888
65,7.7829,,2399.19,,5445,6017.9,6017.9,2129920,414.2,414.1,1.95e-04,0.9820,fp8_tensorwise,1.5B,32,1564837888
66,7.8139,,2474.80,,5399,6069.3,6069.3,2162688,420.2,420.2,1.98e-04,1.2991,fp8_tensorwise,1.5B,32,1564837888
67,7.7258,,2266.08,,5460,6001.4,6001.4,2195456,426.2,426.2,2.01e-04,1.1417,fp8_tensorwise,1.5B,32,1564837888
68,7.7301,,2275.77,,5435,6028.7,6028.7,2228224,432.3,432.2,2.04e-04,0.7113,fp8_tensorwise,1.5B,32,1564837888
69,7.6760,,2155.93,,5411,6056.2,6056.2,2260992,438.3,438.3,2.07e-04,0.8513,fp8_tensorwise,1.5B,32,1564837888
70,7.7378,,2293.39,,5460,6001.6,6001.6,2293760,444.3,444.3,2.10e-04,0.9151,fp8_tensorwise,1.5B,32,1564837888
71,8.0150,,3026.13,,5439,6024.4,6024.4,2326528,450.3,450.3,2.13e-04,0.9653,fp8_tensorwise,1.5B,32,1564837888
72,7.7635,,2353.06,,5375,6096.7,6096.7,2359296,456.4,456.4,2.16e-04,0.8207,fp8_tensorwise,1.5B,32,1564837888
73,7.5601,,1919.96,,5399,6068.8,6068.8,2392064,462.5,462.5,2.19e-04,1.0736,fp8_tensorwise,1.5B,32,1564837888
74,7.5457,,1892.67,,5420,6046.1,6046.1,2424832,468.6,468.5,2.22e-04,0.7837,fp8_tensorwise,1.5B,32,1564837888
75,7.7833,,2400.30,,5451,6011.9,6011.9,2457600,474.6,474.5,2.25e-04,1.2680,fp8_tensorwise,1.5B,32,1564837888
76,7.7022,,2213.31,,5419,6046.4,6046.4,2490368,480.6,480.6,2.28e-04,1.2679,fp8_tensorwise,1.5B,32,1564837888
77,7.8370,,2532.62,,5398,6070.9,6070.9,2523136,486.7,486.7,2.31e-04,1.1044,fp8_tensorwise,1.5B,32,1564837888
78,7.7700,,2368.39,,5453,6009.0,6009.0,2555904,492.7,492.7,2.34e-04,0.8558,fp8_tensorwise,1.5B,32,1564837888
79,7.6474,,2095.21,,5438,6026.2,6026.2,2588672,498.7,498.7,2.37e-04,1.3516,fp8_tensorwise,1.5B,32,1564837888
80,7.6672,,2137.19,,5415,6051.1,6051.1,2621440,504.8,504.7,2.40e-04,0.9493,fp8_tensorwise,1.5B,32,1564837888
81,7.5404,,1882.62,,5440,6023.1,6023.1,2654208,510.8,510.8,2.43e-04,0.8755,fp8_tensorwise,1.5B,32,1564837888
82,7.6994,,2207.01,,5406,6061.9,6061.9,2686976,516.9,516.8,2.46e-04,1.0448,fp8_tensorwise,1.5B,32,1564837888
83,7.7680,,2363.76,,5429,6035.2,6035.2,2719744,522.9,522.9,2.49e-04,1.4348,fp8_tensorwise,1.5B,32,1564837888
84,7.5610,,1921.83,,5449,6013.3,6013.3,2752512,528.9,528.9,2.52e-04,0.6301,fp8_tensorwise,1.5B,32,1564837888
85,7.6455,,2091.18,,5389,6081.0,6081.0,2785280,535.0,535.0,2.55e-04,0.7200,fp8_tensorwise,1.5B,32,1564837888
86,7.7752,,2380.87,,5446,6016.4,6016.4,2818048,541.0,541.0,2.58e-04,0.8264,fp8_tensorwise,1.5B,32,1564837888
87,7.6390,,2077.64,,5417,6048.9,6048.9,2850816,547.1,547.0,2.61e-04,0.7116,fp8_tensorwise,1.5B,32,1564837888
88,7.7409,,2300.57,,5390,6079.9,6079.9,2883584,553.1,553.1,2.64e-04,0.9230,fp8_tensorwise,1.5B,32,1564837888
89,7.6408,,2081.47,,5430,6035.0,6035.0,2916352,559.2,559.1,2.67e-04,0.7863,fp8_tensorwise,1.5B,32,1564837888
90,7.6241,,2046.96,,5421,6044.2,6044.2,2949120,565.2,565.2,2.70e-04,0.7546,fp8_tensorwise,1.5B,32,1564837888
91,7.7010,,2210.64,,5414,6052.9,6052.9,2981888,571.3,571.2,2.73e-04,0.8097,fp8_tensorwise,1.5B,32,1564837888
92,7.6987,,2205.53,,5445,6018.3,6018.3,3014656,577.3,577.3,2.76e-04,0.9695,fp8_tensorwise,1.5B,32,1564837888
93,7.8463,,2556.16,,5410,6056.5,6056.5,3047424,583.3,583.3,2.79e-04,0.9579,fp8_tensorwise,1.5B,32,1564837888
94,7.7951,,2428.56,,5464,5996.8,5996.8,3080192,589.3,589.3,2.82e-04,1.0095,fp8_tensorwise,1.5B,32,1564837888
95,7.8958,,2686.07,,5420,6046.2,6046.2,3112960,595.4,595.4,2.85e-04,0.9382,fp8_tensorwise,1.5B,32,1564837888
96,8.0928,,3270.95,,5397,6071.5,6071.5,3145728,601.5,601.4,2.88e-04,1.7609,fp8_tensorwise,1.5B,32,1564837888
97,7.7996,,2439.64,,5459,6003.1,6003.1,3178496,607.5,607.4,2.91e-04,1.3146,fp8_tensorwise,1.5B,32,1564837888
98,7.7312,,2278.27,,5423,6042.7,6042.7,3211264,613.5,613.5,2.94e-04,1.0329,fp8_tensorwise,1.5B,32,1564837888
99,7.7194,,2251.61,,5411,6055.8,6055.8,3244032,619.6,619.5,2.97e-04,1.0446,fp8_tensorwise,1.5B,32,1564837888
100,7.8846,,2655.94,,5427,6038.0,6038.0,3276800,625.6,625.6,3.00e-04,1.4133,fp8_tensorwise,1.5B,32,1564837888
101,7.7552,,2333.70,,5394,6074.5,6074.5,3309568,631.7,631.6,3.03e-04,1.1101,fp8_tensorwise,1.5B,32,1564837888
102,7.9688,,2889.43,,5474,5985.8,5985.8,3342336,637.7,637.6,3.06e-04,1.7194,fp8_tensorwise,1.5B,32,1564837888
103,7.7828,,2399.06,,5426,6038.9,6038.9,3375104,643.7,643.7,3.09e-04,1.1443,fp8_tensorwise,1.5B,32,1564837888
104,7.7826,,2398.52,,5394,6075.1,6075.1,3407872,649.8,649.7,3.12e-04,1.5802,fp8_tensorwise,1.5B,32,1564837888
105,7.7885,,2412.67,,5463,5998.4,5998.4,3440640,655.8,655.7,3.15e-04,1.5401,fp8_tensorwise,1.5B,32,1564837888
106,7.6954,,2198.24,,5424,6041.7,6041.7,3473408,661.8,661.8,3.18e-04,1.4942,fp8_tensorwise,1.5B,32,1564837888
107,7.8258,,2504.38,,5447,6015.4,6015.4,3506176,667.8,667.8,3.21e-04,1.6379,fp8_tensorwise,1.5B,32,1564837888
108,7.7124,,2235.93,,5443,6020.3,6020.3,3538944,673.9,673.8,3.24e-04,0.9194,fp8_tensorwise,1.5B,32,1564837888
109,7.8019,,2445.19,,5409,6057.7,6057.7,3571712,679.9,679.9,3.27e-04,0.8720,fp8_tensorwise,1.5B,32,1564837888
110,7.8553,,2579.42,,5476,5984.1,5984.1,3604480,685.9,685.9,3.30e-04,1.0100,fp8_tensorwise,1.5B,32,1564837888
111,7.6799,,2164.33,,5415,6050.9,6050.9,3637248,691.9,691.9,3.33e-04,0.9626,fp8_tensorwise,1.5B,32,1564837888
112,7.9582,,2858.98,,5460,6001.1,6001.1,3670016,698.0,697.9,3.36e-04,1.2758,fp8_tensorwise,1.5B,32,1564837888
113,7.7488,,2318.68,,5406,6061.5,6061.5,3702784,704.0,704.0,3.39e-04,0.9816,fp8_tensorwise,1.5B,32,1564837888
114,7.7844,,2402.88,,5439,6024.5,6024.5,3735552,710.0,710.0,3.42e-04,1.0327,fp8_tensorwise,1.5B,32,1564837888
115,7.7253,,2264.95,,5373,6098.8,6098.8,3768320,716.1,716.1,3.45e-04,0.9496,fp8_tensorwise,1.5B,32,1564837888
116,7.6217,,2042.08,,5449,6013.1,6013.1,3801088,722.1,722.1,3.48e-04,0.8349,fp8_tensorwise,1.5B,32,1564837888
117,7.6042,,2006.63,,5402,6065.9,6065.9,3833856,728.2,728.2,3.51e-04,1.0942,fp8_tensorwise,1.5B,32,1564837888
118,7.6833,,2171.83,,5460,6001.5,6001.5,3866624,734.2,734.2,3.54e-04,1.2052,fp8_tensorwise,1.5B,32,1564837888
119,8.0443,,3116.09,,5492,5966.2,5966.2,3899392,740.2,740.1,3.57e-04,8.3358,fp8_tensorwise,1.5B,32,1564837888
120,7.8117,,2469.44,,4304,7613.5,7613.5,3932160,747.8,747.8,3.60e-04,1.1481,fp8_tensorwise,1.5B,32,1564837888
121,7.6310,,2061.20,,5695,5754.3,5754.3,3964928,753.6,753.5,3.63e-04,1.0309,fp8_tensorwise,1.5B,32,1564837888
122,7.8346,,2526.41,,4502,7279.3,7279.3,3997696,760.8,760.8,3.66e-04,1.1984,fp8_tensorwise,1.5B,32,1564837888
123,7.8710,,2620.19,,3915,8369.7,8369.7,4030464,769.2,769.2,3.69e-04,0.7315,fp8_tensorwise,1.5B,32,1564837888
124,7.6603,,2122.49,,4784,6849.6,6849.6,4063232,776.1,776.0,3.72e-04,1.0428,fp8_tensorwise,1.5B,32,1564837888
125,7.6495,,2099.51,,3902,8396.9,8396.9,4096000,784.4,784.4,3.75e-04,3.1108,fp8_tensorwise,1.5B,32,1564837888
